school_code_std,school_name,estb,school_division,school_kind,region,crisis,no_accreditation,provisional_board,fund_shortage,uploaded_at
0002748,가야대학교(김해),사립,대학,대학교,경남,,,,,2026-08-08T02:37:21.560Z
0000063,가천대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000072,가톨릭관동대학교,사립,대학,대학교,강원,,해당,,,2026-08-08T02:37:21.560Z
0000215,가톨릭꽃동네대학교,사립,대학,대학교,충북,,,,,2026-08-08T02:37:21.560Z
0000046,가톨릭대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000050,감리교신학대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000051,강남대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000079,강서대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000052,건국대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000054,건양대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000056,경기대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000059,경남대학교,사립,대학,대학교,경남,,,,,2026-08-08T02:37:21.560Z
0000060,경동대학교,사립,대학,대학교,강원,,,,,2026-08-08T02:37:21.560Z
0000062,경성대학교,사립,대학,대학교,부산,,,,,2026-08-08T02:37:21.560Z
0000244,경운대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000064,경일대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000066,경희대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000068,계명대학교,사립,대학,대학교,대구,,,,,2026-08-08T02:37:21.560Z
0000069,고려대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000071,고신대학교,사립,대학,대학교,부산,,,,,2026-08-08T02:37:21.560Z
0000073,광신대학교,사립,대학,대학교,광주,,,,,2026-08-08T02:37:21.560Z
0000074,광운대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000075,광주가톨릭대학교,사립,대학,대학교,전남,,,,,2026-08-08T02:37:21.560Z
0000231,광주대학교,사립,대학,대학교,광주,,,,,2026-08-08T02:37:21.560Z
0000076,광주여자대학교,사립,대학,대학교,광주,,,,,2026-08-08T02:37:21.560Z
0000078,국민대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000080,극동대학교,사립,대학,대학교,충북,,,,,2026-08-08T02:37:21.560Z
0000224,금강대학교,사립,대학,대학교,충남,,해당,,,2026-08-08T02:37:21.560Z
0000241,김천대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000081,나사렛대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000216,남부대학교,사립,대학,대학교,광주,,,,,2026-08-08T02:37:21.560Z
0000245,남서울대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000082,단국대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000088,대구가톨릭대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000084,대구대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000087,대구예술대학교,사립,대학,대학교,경북,해당,해당,,,2026-08-08T02:37:21.560Z
0000061,대구한의대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000093,대신대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000094,대전가톨릭대학교,사립,대학,대학교,세종,,,,,2026-08-08T02:37:21.560Z
0000095,대전대학교,사립,대학,대학교,대전,,,,,2026-08-08T02:37:21.560Z
0000238,대전신학대학교,사립,대학,대학교,대전,해당,,,해당,2026-08-08T02:37:21.560Z
0000097,대진대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000099,덕성여자대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000100,동국대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000102,동덕여자대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000235,동명대학교,사립,대학,대학교,부산,,,,,2026-08-08T02:37:21.560Z
0000103,동서대학교,사립,대학,대학교,부산,,,,,2026-08-08T02:37:21.560Z
0000104,동신대학교,사립,대학,대학교,전남,,,,,2026-08-08T02:37:21.560Z
0000105,동아대학교,사립,대학,대학교,부산,,,,,2026-08-08T02:37:21.560Z
0000106,동양대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000107,동의대학교,사립,대학,대학교,부산,,,,,2026-08-08T02:37:21.560Z
0000108,루터대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000109,명지대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000112,목원대학교,사립,대학,대학교,대전,,,,,2026-08-08T02:37:21.560Z
0000221,목포가톨릭대학교,사립,대학,대학교,전남,,,,,2026-08-08T02:37:21.560Z
0000113,배재대학교,사립,대학,대학교,대전,,,,,2026-08-08T02:37:21.560Z
0000178,백석대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000114,부산가톨릭대학교,사립,대학,대학교,부산,,,,,2026-08-08T02:37:21.560Z
0000115,부산외국어대학교,사립,대학,대학교,부산,,,,,2026-08-08T02:37:21.560Z
0000222,부산장신대학교,사립,대학,대학교,경남,,,,,2026-08-08T02:37:21.560Z
0000116,삼육대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000117,상명대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000119,상지대학교,사립,대학,대학교,강원,,,,,2026-08-08T02:37:21.560Z
0000120,서강대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000121,서경대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000098,서울기독대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000125,서울신학대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000126,서울여자대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000127,서울장신대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000205,서울한영대학교,사립,대학,대학교,서울,,,,해당,2026-08-08T02:37:21.560Z
0000128,서원대학교,사립,대학,대학교,충북,,,,,2026-08-08T02:37:21.560Z
0000129,선문대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000131,성결대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000132,성공회대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000133,성균관대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000136,성신여자대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000137,세명대학교,사립,대학,대학교,충북,,,,,2026-08-08T02:37:21.560Z
0000138,세종대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000092,세한대학교,사립,대학,대학교,전남,,,,,2026-08-08T02:37:21.560Z
0000243,송원대학교,사립,대학,대학교,광주,,,,,2026-08-08T02:37:21.560Z
0000139,수원가톨릭대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000140,수원대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000141,숙명여자대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000142,순천향대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000143,숭실대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000065,신경주대학교,사립,대학,대학교,경북,해당,해당,,해당,2026-08-08T02:37:21.560Z
0000144,신라대학교,사립,대학,대학교,부산,,,,,2026-08-08T02:37:21.560Z
0002712,신한대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000145,아신대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000146,아주대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000147,안양대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000149,연세대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000151,영남대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000153,영남신학대학교,사립,대학,대학교,경북,,해당,,,2026-08-08T02:37:21.560Z
0003193,영산대학교(해운대),사립,대학,대학교,부산,,,,,2026-08-08T02:37:21.560Z
0000155,영산선학대학교,사립,대학,대학교,전남,,,,,2026-08-08T02:37:21.560Z
0000228,예수대학교,사립,대학,대학교,전북,,,,,2026-08-08T02:37:21.560Z
0000218,예원예술대학교,사립,대학,대학교,전북,,해당,,,2026-08-08T02:37:21.560Z
0000156,용인대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000157,우석대학교,사립,대학,대학교,전북,,,,,2026-08-08T02:37:21.560Z
0000240,우송대학교,사립,대학,대학교,대전,,,,,2026-08-08T02:37:21.560Z
0000158,울산대학교,사립,대학,대학교,울산,,,,,2026-08-08T02:37:21.560Z
0000159,원광대학교,사립,대학,대학교,전북,,,,,2026-08-08T02:37:21.560Z
0000160,위덕대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000154,유원대학교,사립,대학,대학교,충북,,,,,2026-08-08T02:37:21.560Z
0000161,을지대학교,사립,대학,대학교,대전,,,,,2026-08-08T02:37:21.560Z
0000163,이화여자대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000164,인제대학교,사립,대학,대학교,경남,,,,,2026-08-08T02:37:21.560Z
0000168,인천가톨릭대학교,사립,대학,대학교,인천,,,,,2026-08-08T02:37:21.560Z
0000169,인하대학교,사립,대학,대학교,인천,,,,,2026-08-08T02:37:21.560Z
0000170,장로회신학대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000171,전주대학교,사립,대학,대학교,전북,,,,,2026-08-08T02:37:21.560Z
0000248,제주국제대학교,사립,대학,대학교,제주,해당,,,해당,2026-08-08T02:37:21.560Z
0000172,조선대학교,사립,대학,대학교,광주,,,,,2026-08-08T02:37:21.560Z
0000173,중부대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000175,중앙대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000177,중앙승가대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000239,중원대학교,사립,대학,대학교,충북,,,,,2026-08-08T02:37:21.560Z
0000187,차의과학대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000249,창신대학교,사립,대학,대학교,경남,,,,,2026-08-08T02:37:21.560Z
0000179,청주대학교,사립,대학,대학교,충북,,,,,2026-08-08T02:37:21.560Z
0000246,초당대학교,사립,대학,대학교,전남,,,,,2026-08-08T02:37:21.560Z
0000180,총신대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000181,추계예술대학교,사립,대학,대학교,서울,,,,해당,2026-08-08T02:37:21.560Z
0000184,칼빈대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000186,평택대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000188,포항공과대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000247,한국공학대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000189,한국기술교육대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000191,한국성서대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000192,한국외국어대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000182,한국침례신학대학교,사립,대학,대학교,대전,,해당,,,2026-08-08T02:37:21.560Z
0000194,한국항공대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000195,한남대학교,사립,대학,대학교,대전,,,,,2026-08-08T02:37:21.560Z
0000196,한동대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000197,한라대학교,사립,대학,대학교,강원,,,,,2026-08-08T02:37:21.560Z
0000198,한림대학교,사립,대학,대학교,강원,,,,,2026-08-08T02:37:21.560Z
0000199,한서대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000200,한성대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000201,한세대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000202,한신대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000203,한양대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000207,협성대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000208,호남대학교,사립,대학,대학교,광주,,,,,2026-08-08T02:37:21.560Z
