year,school_code_std,school_name,school_division,school_kind,region,estb,ordinary_expense_transfer,legal_obligation_transfer,asset_transfer,total_transfer,tuition_revenue,transfer_ratio,uploaded_at
2020,0002748,가야대학교(김해),대학,대학교,경남,사립,,135000,,135000,14881198,0.9,2026-08-01T05:16:30.222Z
2020,0000063,가천대학교,대학,대학교,경기,사립,6000,5941200,,5947200,168762138,3.5,2026-08-01T05:16:30.222Z
2020,0000072,가톨릭관동대학교,대학,대학교,강원,사립,,2477000,,2477000,58587742,4.2,2026-08-01T05:16:30.222Z
2020,0000215,가톨릭꽃동네대학교,대학,대학교,충북,사립,1240168,258072,,1498240,3524694,42.5,2026-08-01T05:16:30.222Z
2020,0000046,가톨릭대학교,대학,대학교,경기,사립,32362486,6871996,,39234482,82770521,47.4,2026-08-01T05:16:30.222Z
2020,0000050,감리교신학대학교,대학,대학교,서울,사립,2000,60000,,62000,9013574,0.7,2026-08-01T05:16:30.222Z
2020,0000051,강남대학교,대학,대학교,경기,사립,,805000,,805000,52505535,1.5,2026-08-01T05:16:30.222Z
2020,0000052,건국대학교,대학,대학교,서울,사립,89101,4870000,,4959101,232698112,2.1,2026-08-01T05:16:30.222Z
2020,0000054,건양대학교,대학,대학교,충남,사립,3006442,4585940,,7592381,51893414,14.6,2026-08-01T05:16:30.222Z
2020,0000056,경기대학교,대학,대학교,경기,사립,,740871,,740871,119491132,0.6,2026-08-01T05:16:30.222Z
2020,0000059,경남대학교,대학,대학교,경남,사립,,1130000,,1130000,77583650,1.5,2026-08-01T05:16:30.222Z
2020,0000060,경동대학교,대학,대학교,강원,사립,,1741084,700000,2441084,58162860,4.2,2026-08-01T05:16:30.222Z
2020,0000062,경성대학교,대학,대학교,부산,사립,100000,440000,,540000,82234747,0.7,2026-08-01T05:16:30.222Z
2020,0000244,경운대학교,대학,대학교,경북,사립,,302500,,302500,33217838,0.9,2026-08-01T05:16:30.222Z
2020,0000064,경일대학교,대학,대학교,경북,사립,,300000,,300000,46013829,0.7,2026-08-01T05:16:30.222Z
2020,0000065,신경주대학교,대학,대학교,경북,사립,,,,,6976203,0,2026-08-01T05:16:30.222Z
2020,0000066,경희대학교,대학,대학교,서울,사립,241395,12648763,,12890158,289984318,4.4,2026-08-01T05:16:30.222Z
2020,0000068,계명대학교,대학,대학교,대구,사립,361200,7566334,,7927534,163092514,4.9,2026-08-01T05:16:30.222Z
2020,0000069,고려대학교,대학,대학교,서울,사립,443379,15504484,,15947863,352941598,4.5,2026-08-01T05:16:30.222Z
2020,0000071,고신대학교,대학,대학교,부산,사립,,4218289,,4218289,29690495,14.2,2026-08-01T05:16:30.222Z
2020,0000073,광신대학교,대학,대학교,광주,사립,952500,326423,,1278923,5515697,23.2,2026-08-01T05:16:30.222Z
2020,0000074,광운대학교,대학,대학교,서울,사립,,300000,,300000,76370613,0.4,2026-08-01T05:16:30.222Z
2020,0000075,광주가톨릭대학교,대학,대학교,전남,사립,1017970,156899,,1174870,,0,2026-08-01T05:16:30.222Z
2020,0000231,광주대학교,대학,대학교,광주,사립,20000,1400000,,1420000,44202214,3.2,2026-08-01T05:16:30.222Z
2020,0000076,광주여자대학교,대학,대학교,광주,사립,10000,395000,,405000,24667441,1.6,2026-08-01T05:16:30.222Z
2020,0000078,국민대학교,대학,대학교,서울,사립,,5200000,,5200000,151941942,3.4,2026-08-01T05:16:30.222Z
2020,0000080,극동대학교,대학,대학교,충북,사립,,50000,,50000,26690535,0.2,2026-08-01T05:16:30.222Z
2020,0000224,금강대학교,대학,대학교,충남,사립,4390652,341912,667436,5400000,2417714,223.4,2026-08-01T05:16:30.222Z
2020,0000241,김천대학교,대학,대학교,경북,사립,,78000,,78000,20362792,0.4,2026-08-01T05:16:30.222Z
2020,0000081,나사렛대학교,대학,대학교,충남,사립,93000,373000,,466000,37338009,1.2,2026-08-01T05:16:30.222Z
2020,0000216,남부대학교,대학,대학교,광주,사립,,115000,,115000,21387951,0.5,2026-08-01T05:16:30.222Z
2020,0000245,남서울대학교,대학,대학교,충남,사립,10000,931000,,941000,73962775,1.3,2026-08-01T05:16:30.222Z
2020,0000082,단국대학교,대학,대학교,경기,사립,,9835842,,9835842,221932276,4.4,2026-08-01T05:16:30.222Z
2020,0000088,대구가톨릭대학교,대학,대학교,경북,사립,,6201020,,6201020,92699560,6.7,2026-08-01T05:16:30.222Z
2020,0000084,대구대학교,대학,대학교,경북,사립,1430000,150000,,1580000,124908128,1.3,2026-08-01T05:16:30.222Z
2020,0000087,대구예술대학교,대학,대학교,경북,사립,,15000,,15000,7638563,0.2,2026-08-01T05:16:30.222Z
2020,0000061,대구한의대학교,대학,대학교,경북,사립,,320000,,320000,49198346,0.7,2026-08-01T05:16:30.222Z
2020,0000093,대신대학교,대학,대학교,경북,사립,20000,200000,,220000,3634566,6.1,2026-08-01T05:16:30.222Z
2020,0000094,대전가톨릭대학교,대학,대학교,세종,사립,875070,140773,,1015843,444970,228.3,2026-08-01T05:16:30.222Z
2020,0000095,대전대학교,대학,대학교,대전,사립,122000,780000,,902000,68080580,1.3,2026-08-01T05:16:30.222Z
2020,0000238,대전신학대학교,대학,대학교,대전,사립,374,40000,,40374,1025169,3.9,2026-08-01T05:16:30.222Z
2020,0000097,대진대학교,대학,대학교,경기,사립,3057257,3856063,400000,7313320,56468029,13,2026-08-01T05:16:30.222Z
2020,0000099,덕성여자대학교,대학,대학교,서울,사립,1726945,3121287,439521,5287753,41306777,12.8,2026-08-01T05:16:30.222Z
2020,0000100,동국대학교,대학,대학교,서울,사립,216200,9202000,,9418200,214686986,4.4,2026-08-01T05:16:30.222Z
2020,0000102,동덕여자대학교,대학,대학교,서울,사립,,400000,,400000,52311935,0.8,2026-08-01T05:16:30.222Z
2020,0000235,동명대학교,대학,대학교,부산,사립,,900000,,900000,52533683,1.7,2026-08-01T05:16:30.222Z
2020,0000103,동서대학교,대학,대학교,부산,사립,,330000,,330000,67662503,0.5,2026-08-01T05:16:30.222Z
2020,0000104,동신대학교,대학,대학교,전남,사립,51252,975000,,1026252,43864480,2.3,2026-08-01T05:16:30.222Z
2020,0000105,동아대학교,대학,대학교,부산,사립,120000,3440000,,3560000,138086062,2.6,2026-08-01T05:16:30.222Z
2020,0000106,동양대학교,대학,대학교,경북,사립,,47408,,47408,26398334,0.2,2026-08-01T05:16:30.222Z
2020,0000107,동의대학교,대학,대학교,부산,사립,,1370000,,1370000,101102346,1.4,2026-08-01T05:16:30.222Z
2020,0000108,루터대학교,대학,대학교,경기,사립,743600,190000,,933600,2500677,37.3,2026-08-01T05:16:30.222Z
2020,0000109,명지대학교,대학,대학교,경기,사립,8300,432464,,440764,130128966,0.3,2026-08-01T05:16:30.222Z
2020,0000112,목원대학교,대학,대학교,대전,사립,,740000,,740000,56116573,1.3,2026-08-01T05:16:30.222Z
2020,0000221,목포가톨릭대학교,대학,대학교,전남,사립,8000,227992,,235992,3258564,7.2,2026-08-01T05:16:30.222Z
2020,0000113,배재대학교,대학,대학교,대전,사립,280000,2170000,,2450000,57936665,4.2,2026-08-01T05:16:30.222Z
2020,0000178,백석대학교,대학,대학교,충남,사립,,510000,,510000,107357957,0.5,2026-08-01T05:16:30.222Z
2020,0000114,부산가톨릭대학교,대학,대학교,부산,사립,,1400000,,1400000,26170762,5.3,2026-08-01T05:16:30.222Z
2020,0000115,부산외국어대학교,대학,대학교,부산,사립,,230000,,230000,49311188,0.5,2026-08-01T05:16:30.222Z
