year,cohort,school_rep_code,school_rep_name,region,estb,school_division,ordinary_expense_transfer,legal_obligation_transfer,asset_transfer,total_transfer,tuition_revenue,transfer_ratio,campus_count,has_alimi,updated_at
2020,university,0000513,가톨릭관동대학교,강원,사립,대학,0,2477000,0,2477000,58587742.01,4.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000041,경동대학교,강원,사립,대학,0,1741083.99,700000,2441083.99,58162860.1,4.2,4,Y,2026-08-15T06:50:35.100Z
2020,university,0000086,상지대학교,강원,사립,대학,0,239457.9,0,239457.9,55415339.59,0.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000147,한라대학교,강원,사립,대학,1216300,1298038,0,2514338,22979957.77,10.9,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000148,한림대학교,강원,사립,대학,33792146.29,7671045.67,513571,41976762.96,62686741.71,67,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000044,가천대학교,경기,사립,대학,6000,5941200,0,5947200,168762137.7,3.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000034,가톨릭대학교,경기,사립,대학,32362485.7,6871996.137,0,39234481.837,82770520.83,47.4,3,Y,2026-08-15T06:50:35.100Z
2020,university,0000036,강남대학교,경기,사립,대학,0,805000,0,805000,52505535.16,1.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000039,경기대학교,경기,사립,대학,0,740871,0,740871,119491132,0.6,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000060,단국대학교,경기,사립,대학,0,9835842,0,9835842,221932276.5,4.4,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000068,대진대학교,경기,사립,대학,3057257.4,3856063,400000,7313320.4,56468028.61,13,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000078,루터대학교,경기,사립,대학,743600,190000,0,933600,2500677.2,37.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000079,명지대학교,경기,사립,대학,8300,432464.246,0,440764.246,130128966.2,0.3,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000090,서울신학대학교,경기,사립,대학,81000,1257111.381,0,1338111.381,19630027.29,6.8,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000092,서울장신대학교,경기,사립,대학,0,50000,0,50000,5897008,0.8,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000095,성결대학교,경기,사립,대학,224100.335,162986,0,387086.33499999996,38666495.45,1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000101,수원가톨릭대학교,경기,사립,대학,4254065.718,340085,0,4594150.718,982570.751,467.6,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000102,수원대학교,경기,사립,대학,5000,30000,0,35000,72285549.01,0,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000178,신경대학교,경기,사립,대학,0,0,0,0,3869698.05,0,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000509,신한대학교,경기,사립,대학,1508000,0,0,1508000,57791757.95,2.6,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000558,아신대학교,경기,사립,대학,4195.073,123158,0,127353.073,7304141,1.7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000108,아주대학교,경기,사립,대학,2546336.823,8929113.177,0,11475450,121505889.5,9.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000109,안양대학교,경기,사립,대학,550000,1470000,0,2020000,38285129.34,5.3,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000115,용인대학교,경기,사립,대학,0,515000,0,515000,51595853,1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000130,중앙승가대학교,경기,사립,대학,1518539,255461,0,1774000,729657.73,243.1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000139,차의과학대학교,경기,사립,대학,555320.99,4692072.51,0,5247393.5,28583865.94,18.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000136,칼빈대학교,경기,사립,대학,0,40000,0,40000,7057672,0.6,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000138,평택대학교,경기,사립,대학,117000,490000,0,607000,30298819.27,2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000191,한국산업기술대학교,경기,사립,대학,0,2001600,0,2001600,59815790.03,3.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000144,한국항공대학교,경기,사립,대학,102000,1884867.06,0,1986867.06,37955419.7,5.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000151,한세대학교,경기,사립,대학,1014326,1294240.94,0,2308566.94,24857871.97,9.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000152,한신대학교,경기,사립,대학,265180,664726,0,929906,37527804.61,2.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000156,협성대학교,경기,사립,대학,0,50000,0,50000,31335490.4,0.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000032,가야대학교,경남,사립,대학,0,135000,0,135000,14881197.78,0.9,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000040,경남대학교,경남,사립,대학,0,1130000,0,1130000,77583649.5,1.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000167,부산장신대학교,경남,사립,대학,691.02,167308.98,0,168000,2415840.33,7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000181,영산대학교,경남,사립,대학,0,0,0,0,0,,2,N,2026-08-15T06:50:35.100Z
2020,university,0000122,인제대학교,경남,사립,대학,5891537.068,11687504.27,0,17579041.338,75343396.8,23.3,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000193,창신대학교,경남,사립,대학,251000,749000,0,1000000,13467324.47,7.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000174,한국국제대학교,경남,사립,대학,0,0,0,0,0,,1,N,2026-08-15T06:50:35.100Z
2020,university,0000188,경운대학교,경북,사립,대학,0,302500,0,302500,33217838.17,0.9,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000045,경일대학교,경북,사립,대학,0,300000,0,300000,46013829.44,0.7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000046,경주대학교,경북,사립,대학,0,0,0,0,6976203.03,0,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000185,김천대학교,경북,사립,대학,0,78000,0,78000,20362791.77,0.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000063,대구가톨릭대학교,경북,사립,대학,0,6201020,0,6201020,92699560.34,6.7,1,Y,2026-08-15T06:50:35.100Z
