year,school_kind,estb,school_division,region,status,school_code_std,school_name,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,uploaded_at
2022,대학교,사립,대학,경남,기존,0002748,가야대학교(김해),2355,218,9.26,383,36,9.4,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000063,가천대학교,26126,945,3.62,4675,330,7.06,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,강원,기존,0000072,가톨릭관동대학교,10959,850,7.76,1563,157,10.04,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충북,기존,0000215,가톨릭꽃동네대학교,545,24,4.4,108,7,6.48,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000046,가톨릭대학교,9386,350,3.73,1770,128,7.23,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000048,가톨릭대학교_제2캠퍼스,968,15,1.55,184,7,3.8,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000049,가톨릭대학교_제3캠퍼스,306,6,1.96,49,1,2.04,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000050,감리교신학대학교,925,61,6.59,94,7,7.45,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000051,강남대학교,8713,476,5.46,1589,142,8.94,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,강원,기존,0000001,국립강릉원주대학교,7420,458,6.17,1304,95,7.29,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,강원,기존,0000002,국립강릉원주대학교_제2캠퍼스,2837,128,4.51,503,24,4.77,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000079,강서대학교,1913,137,7.16,338,60,17.75,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,강원,기존,0000004,강원대학교_제2캠퍼스,9406,708,7.53,1509,164,10.87,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,강원,기존,0000003,강원대학교,19568,601,3.07,3310,223,6.74,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000052,건국대학교,22485,679,3.02,3477,317,9.12,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충북,기존,0000053,건국대학교(글로컬)_분교,10228,419,4.1,1668,112,6.71,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,대전,기존,0000055,건양대학교_제2캠퍼스,4125,169,4.1,874,72,8.24,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충남,기존,0000054,건양대학교,3991,267,6.69,777,65,8.37,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,대전,기존,0000335,건양사이버대학교,3700,286,7.73,996,104,10.44,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000056,경기대학교,16071,652,4.06,2799,190,6.79,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000058,경기대학교_제2캠퍼스,2617,130,4.97,382,19,4.97,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,경남,폐교,0000035,경남과학기술대학교,5444,286,5.25,0,0,0,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경남,기존,0000059,경남대학교,14486,935,6.45,1920,114,5.94,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0002744,경동대학교_제4캠퍼스,3743,228,6.09,662,43,6.5,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,강원,기존,0002574,경동대학교_제3캠퍼스,4570,198,4.33,1041,71,6.82,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,강원,기존,0000060,경동대학교,810,148,18.27,52,6,11.54,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,대구,기존,0000005,경북대학교,28693,1167,4.07,5006,461,9.21,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,경남,기존,0000007,경상국립대학교,19312,925,4.79,4512,306,6.78,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,부산,기존,0000062,경성대학교,16076,899,5.59,2963,175,5.91,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000244,경운대학교,5772,624,10.81,1131,169,14.94,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,인천,기존,0000256,경인교육대학교,1313,63,4.8,652,52,7.98,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,경기,기존,0000257,경인교육대학교_제2캠퍼스,1306,8,0.61,0,0,0,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000064,경일대학교,9311,778,8.36,1645,198,12.04,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000065,신경주대학교,957,252,26.33,214,108,50.47,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000066,경희대학교,33980,1151,3.39,5798,537,9.26,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,서울,기존,0000318,경희사이버대학교,12031,2195,18.24,2833,599,21.14,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,대구,기존,0000068,계명대학교,29306,1513,5.16,4898,284,5.8,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000069,고려대학교,26766,897,3.35,4547,414,9.1,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,세종,기존,0000070,고려대학교(세종)_분교,9090,495,5.45,1600,160,10,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,서울,기존,0000328,고려사이버대학교,11906,1703,14.3,2323,366,15.76,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,부산,기존,0000071,고신대학교,4283,412,9.62,823,128,15.55,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,충남,기존,0000251,공주교육대학교,1434,43,3,380,20,5.26,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,충남,기존,0000008,국립공주대학교,16161,758,4.69,3237,220,6.8,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,광주,기존,0000073,광신대학교,534,54,10.11,122,26,21.31,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000074,광운대학교,11633,464,3.99,1957,166,8.48,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,전남,기존,0000075,광주가톨릭대학교,114,10,8.77,12,0,0,2026-08-07T10:05:19.852Z
2022,대학교,특별법법인,대학,광주,기존,0000381,광주과학기술원,1009,48,4.76,218,17,7.8,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,광주,기존,0000252,광주교육대학교,1337,36,2.69,347,30,8.65,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,광주,기존,0000231,광주대학교,8209,963,11.73,1560,386,24.74,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,광주,기존,0000076,광주여자대학교,3982,301,7.56,908,145,15.97,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000078,국민대학교,20917,658,3.15,3463,264,7.62,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,경기,기존,0000319,국제사이버대학교,3882,646,16.64,984,205,20.83,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,전북,기존,0000009,국립군산대학교,9055,650,7.18,1522,123,8.08,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충북,기존,0000080,극동대학교,4397,338,7.69,582,47,8.08,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,충남,기존,0000334,글로벌사이버대학교,2550,471,18.47,735,142,19.32,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충남,기존,0000224,금강대학교,339,54,15.93,33,15,45.45,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,경북,기존,0000010,국립금오공과대학교,7716,385,4.99,1313,74,5.64,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000241,김천대학교,3325,458,13.77,645,178,27.6,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충남,기존,0000081,나사렛대학교,6491,429,6.61,1306,87,6.66,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,광주,기존,0000216,남부대학교,3609,304,8.42,636,79,12.42,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충남,기존,0000245,남서울대학교,12456,731,5.87,2335,165,7.07,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000082,단국대학교,15758,498,3.16,2618,184,7.03,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충남,기존,0002726,단국대학교_제2캠퍼스,13913,621,4.46,2521,220,8.73,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000088,대구가톨릭대학교,15333,988,6.44,2760,188,6.81,2026-08-07T10:05:19.852Z
2022,대학교,특별법법인,대학,대구,기존,0000382,대구경북과학기술원,1052,29,2.76,222,17,7.66,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,대구,기존,0000253,대구교육대학교,1606,42,2.62,420,26,6.19,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000084,대구대학교,22207,1480,6.66,3819,237,6.21,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,경북,기존,0000320,대구사이버대학교,5717,1064,18.61,1808,293,16.21,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000087,대구예술대학교,1004,155,15.44,77,9,11.69,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000061,대구한의대학교,8113,673,8.3,1612,228,14.14,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000093,대신대학교,605,50,8.26,117,7,5.98,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,세종,기존,0000094,대전가톨릭대학교,50,3,6,12,1,8.33,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,대전,기존,0000095,대전대학교,11959,727,6.08,2042,158,7.74,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,대전,기존,0000238,대전신학대학교,71,10,14.08,8,0,0,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000097,대진대학교,10209,509,4.99,1900,168,8.84,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000099,덕성여자대학교,6610,272,4.11,1210,140,11.57,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000100,동국대학교,18489,540,2.92,3225,290,8.99,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000101,동국대학교(WISE)_분교,10164,597,5.87,1836,171,9.31,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000102,동덕여자대학교,8054,318,3.95,1747,201,11.51,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,부산,기존,0000235,동명대학교,10619,1230,11.58,1518,195,12.85,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,부산,기존,0000103,동서대학교,12871,821,6.38,2090,133,6.36,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,전남,기존,0000104,동신대학교,7718,875,11.34,1529,356,23.28,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,부산,기존,0000105,동아대학교,24717,1010,4.09,4388,206,4.69,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경북,기존,0000106,동양대학교,5159,469,9.09,994,119,11.97,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,부산,기존,0000107,동의대학교,20322,1235,6.08,3826,259,6.77,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,서울,기존,0000330,디지털서울문화예술대학교,3874,595,15.36,755,126,16.69,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000108,루터대학교,393,48,12.21,88,14,15.91,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000109,명지대학교,8863,420,4.74,1482,114,7.69,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000111,명지대학교_제2캠퍼스,10563,470,4.45,1619,150,9.26,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,대전,기존,0000112,목원대학교,9764,671,6.87,1885,155,8.22,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,전남,기존,0000221,목포가톨릭대학교,566,14,2.47,126,6,4.76,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,전남,기존,0000011,국립목포대학교,8804,604,6.86,1557,137,8.8,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,전남,기존,0000012,국립목포해양대학교,3112,200,6.43,713,64,8.98,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,대전,기존,0000113,배재대학교,10218,875,8.56,1989,185,9.3,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충남,기존,0000178,백석대학교,15612,814,5.21,3160,210,6.65,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,부산,기존,0000013,국립부경대학교,21014,943,4.49,3619,309,8.54,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,부산,기존,0000114,부산가톨릭대학교,4352,225,5.17,764,32,4.19,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,부산,기존,0000254,부산교육대학교,1520,39,2.57,382,29,7.59,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,부산,기존,0000014,부산대학교,26611,1060,3.98,4613,342,7.41,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,부산,기존,0000321,부산디지털대학교,2833,407,14.37,695,108,15.54,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,부산,기존,0000115,부산외국어대학교,10261,609,5.94,1455,108,7.42,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경남,기존,0000222,부산장신대학교,180,26,14.44,32,3,9.38,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,서울,기존,0000332,사이버한국외국어대학교,8071,1475,18.28,1854,295,15.91,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000116,삼육대학교,7062,255,3.61,1224,79,6.45,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충남,기존,0002959,상명대학교_제2캠퍼스,7763,315,4.06,1445,97,6.71,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000117,상명대학교,8728,358,4.1,1567,142,9.06,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,강원,기존,0000119,상지대학교,9482,819,8.64,1540,189,12.27,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000120,서강대학교,11679,432,3.7,1826,230,12.6,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000121,서경대학교,8623,408,4.73,1618,134,8.28,2026-08-07T10:05:19.852Z
2022,대학교,국립,대학,서울,기존,0000036,서울과학기술대학교,13738,533,3.88,2415,179,7.41,2026-08-07T10:05:19.852Z
2022,교육대학,국립,대학,서울,기존,0000255,서울교육대학교,1538,83,5.4,393,52,13.23,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000098,서울기독대학교,497,40,8.05,68,11,16.18,2026-08-07T10:05:19.852Z
2022,대학교,국립대법인,대학,서울,기존,0000019,서울대학교,21286,412,1.94,3484,194,5.57,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,서울,기존,0000322,서울디지털대학교,12666,1687,13.32,2736,324,11.84,2026-08-07T10:05:19.852Z
2022,사이버대학(대학),사립,대학,서울,기존,0000323,서울사이버대학교,18608,3013,16.19,4934,895,18.14,2026-08-07T10:05:19.852Z
2022,대학교,공립,대학,서울,기존,0000040,서울시립대학교,12035,346,2.87,1861,150,8.06,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000125,서울신학대학교,2573,153,5.95,479,42,8.77,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000126,서울여자대학교,8639,349,4.04,1759,202,11.48,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000127,서울장신대학교,453,36,7.95,68,5,7.35,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,서울,기존,0000205,서울한영대학교,885,105,11.86,178,29,16.29,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충북,기존,0000128,서원대학교,8630,489,5.67,1745,133,7.62,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,충남,기존,0000129,선문대학교,12554,893,7.11,2236,245,10.96,2026-08-07T10:05:19.852Z
2022,대학교,사립,대학,경기,기존,0000131,성결대학교,7056,379,5.37,1297,109,8.4,2026-08-07T10:05:19.852Z
