year,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,consolidated_at
2019,대학교,사립,대학,강원,기존,0000513,가톨릭관동대학교,1,12897,979,7.59,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,강원,기존,0000347,강릉영동대학교,1,4704,200,4.25,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,강원,기존,0000572,강릉원주대학교,2,11016,618,5.61,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,강원,폐교,0000378,강원관광대학교,1,1828,130,7.11,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,강원,기존,0000002,강원대학교,2,31570,1568,4.97,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,공립,전문대학,강원,기존,0000531,강원도립대학교,1,1039,110,10.59,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,강원,기존,0000086,상지대학교,1,9301,875,9.41,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,강원,폐교,0000319,상지영서대학교,1,5853,2934,50.13,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,강원,기존,0000348,세경대학교,1,1330,94,7.07,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,강원,기존,0000393,송곡대학교,1,782,54,6.91,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,강원,기존,0000390,송호대학교,1,1457,152,10.43,0,0,0,2026-08-07T10:05:19.980Z
2019,교육대학,국립,대학,강원,기존,0000205,춘천교육대학교,1,1388,27,1.95,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,강원,기존,0000542,한국골프대학,1,739,29,3.92,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,강원,기존,0000483,한국폴리텍 III 대학,1,183,7,3.83,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,강원,기존,0000517,한국폴리텍 III 대학,1,60,4,6.67,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,강원,기존,0000482,한국폴리텍 III 대학,1,511,50,9.78,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,강원,기존,0000147,한라대학교,1,5352,344,6.43,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,강원,기존,0000148,한림대학교,1,11025,446,4.05,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,강원,기존,0000383,한림성심대학교,1,4906,332,6.77,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000044,가천대학교,1,25780,932,3.62,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000036,강남대학교,1,9172,528,5.76,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000387,경기과학기술대학교,1,7320,333,4.55,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000041,경동대학교,3,9978,592,5.93,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000255,경민대학교,1,7290,546,7.49,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000259,경복대학교,1,8263,357,4.32,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000264,계원예술대학교,1,4238,347,8.19,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000379,국제대학교,1,6221,541,8.7,0,0,0,2026-08-07T10:05:19.980Z
2019,사이버대학(대학),사립,대학,경기,기존,0000409,국제사이버대학교,1,3551,652,18.36,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000277,김포대학교,1,5276,518,9.82,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000278,농협대학교,1,511,7,1.37,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000285,대림대학교,1,10317,921,8.93,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000068,대진대학교,1,10266,616,6,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000294,동남보건대학교,1,5678,261,4.6,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000287,동서울대학교,1,8909,628,7.05,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000298,동아방송예술대학교,1,4232,251,5.93,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000302,동원대학교,1,5615,534,9.51,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000305,두원공과대학교,1,8213,742,9.03,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000078,루터대학교,1,422,44,10.43,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000079,명지대학교,2,19608,700,3.57,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000316,부천대학교,1,10641,631,5.93,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000090,서울신학대학교,1,2821,145,5.14,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000323,서울예술대학교,1,4335,185,4.27,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000092,서울장신대학교,1,635,33,5.2,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000392,서정대학교,1,9174,340,3.71,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000095,성결대학교,1,7292,382,5.24,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000101,수원가톨릭대학교,1,183,7,3.83,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000330,수원과학대학교,1,9006,774,8.59,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000102,수원대학교,1,12916,840,6.5,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000329,수원여자대학교,1,4611,294,6.38,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,000567,신경대학교,1,1146,160,13.96,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000334,신구대학교,1,8759,601,6.86,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000339,신안산대학교,1,6440,474,7.36,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,000509,신한대학교,2,8497,439,5.17,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,폐교,0000336,신흥대학교,1,13,18,138.46,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000558,아신대학교,1,947,76,8.03,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000108,아주대학교,1,13803,340,2.46,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000340,안산대학교,1,5730,352,6.14,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000109,안양대학교,2,6724,371,5.52,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000343,여주대학교,1,8159,791,9.69,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000341,연성대학교,1,8543,740,8.66,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000164,예원예술대학교,2,1542,160,10.38,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000350,오산대학교,1,7843,708,9.03,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000115,용인대학교,1,8611,528,6.13,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000559,용인예술과학대학교,1,6213,568,9.14,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000394,웅지세무대학교,1,2262,213,9.42,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000355,유한대학교,1,8113,458,5.65,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000358,장안대학교,1,8140,782,9.61,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000129,중앙대학교,2,32392,895,2.76,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000130,중앙승가대학교,1,149,8,5.37,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000139,차의과학대학교,1,2810,144,5.12,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000374,청강문화산업대학교,1,5013,266,5.31,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000136,칼빈대학교,1,670,48,7.16,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000138,평택대학교,1,4810,339,7.05,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,경기,기존,0000568,한경대학교,1,7610,454,5.97,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경기,기존,0000391,한국관광대학교,1,2629,156,5.93,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,국립,전문대학,경기,폐교,0000248,한국복지대학교,1,874,72,8.24,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000562,한국산업기술대학교,1,9839,555,5.64,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,경기,기존,0000479,한국폴리텍 I 대학,1,1623,150,9.24,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,경기,기존,0000548,한국폴리텍 II 대학,1,1085,101,9.31,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000144,한국항공대학교,1,5824,173,2.97,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,폐교,0000175,한북대학교,1,4,11,275,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000151,한세대학교,1,3503,203,5.8,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000152,한신대학교,1,7359,357,4.85,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경기,기존,0000156,협성대학교,1,5789,406,7.01,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,경기,기존,0000516,ICT폴리텍대학,1,613,59,9.62,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경남,기존,0000032,가야대학교,1,3124,199,6.37,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경남,기존,0000251,거제대학교,1,1720,164,9.53,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,경남,폐교,0000026,경남과학기술대학교,1,6946,457,6.58,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경남,기존,0000040,경남대학교,1,16923,975,5.76,0,0,0,2026-08-07T10:05:19.980Z
