year,half,school_kind,estb,school_division,region,status,school_code_std,school_name,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,uploaded_at
2024,하반기,대학교,사립,,경북,기존,0002749,가야대학교(고령)_제2캠퍼스,0,0,0,0,0,0,0,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0002749,가야대학교(고령)_제2캠퍼스,0,0,0,0,0,0,0,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경남,기존,0002748,가야대학교(김해),1878,0,1555,1395,160,82.8,74.3,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경남,기존,0002748,가야대학교(김해),1765,0,1610,1450,160,91.2,82.2,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경기,기존,0000063,가천대학교,16552,0,20303,15002,5301,122.7,90.6,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경기,기존,0000063,가천대학교,16724,0,22520,16522,5998,134.7,98.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,강원,기존,0000072,가톨릭관동대학교,7317,0,4719,4339,380,64.5,59.3,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,강원,기존,0000072,가톨릭관동대학교,6945,0,5229,4778,451,75.3,68.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,충북,기존,0000215,가톨릭꽃동네대학교,432,0,380,363,17,88,84,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,충북,기존,0000215,가톨릭꽃동네대학교,432,0,418,395,23,96.8,91.4,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경기,기존,0000046,가톨릭대학교,6304,0,7052,5445,1607,111.9,86.4,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경기,기존,0000046,가톨릭대학교,6296,0,7843,6079,1764,124.6,96.6,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,서울,기존,0000048,가톨릭대학교_제2캠퍼스,878,0,356,325,31,40.5,37,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,서울,기존,0000048,가톨릭대학교_제2캠퍼스,878,0,912,863,49,103.9,98.3,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,서울,기존,0000049,가톨릭대학교_제3캠퍼스,200,0,202,194,8,101,97,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,서울,기존,0000049,가톨릭대학교_제3캠퍼스,200,0,197,189,8,98.5,94.5,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,서울,기존,0000050,감리교신학대학교,708,0,532,516,16,75.1,72.9,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,서울,기존,0000050,감리교신학대학교,662,0,564,547,17,85.2,82.6,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경기,기존,0000051,강남대학교,5964,0,5932,5361,571,99.5,89.9,2026-08-07T09:07:29.509Z
