year,half,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,consolidated_at
2020,상반기,대학교,사립,대학,강원,기존,0000513,가톨릭관동대학교,1,8498,0,8107,7474,633,95.4,87.95,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,강원,기존,0000347,강릉영동대학교,1,2675,0,2663,2169,494,99.55,81.08,2026-08-07T09:07:29.731Z
2020,상반기,대학교,국립,대학,강원,기존,0000572,강릉원주대학교,2,7412,0,7836,7282,554,105.72,98.25,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,강원,폐교,0000378,강원관광대학교,1,1119,0,1012,811,201,90.44,72.48,2026-08-07T09:07:29.731Z
2020,상반기,대학교,국립,대학,강원,기존,0000002,강원대학교,2,18255,0,19587,18074,1513,107.3,99.01,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,공립,전문대학,강원,기존,0000531,강원도립대학교,1,657,0,635,630,5,96.65,95.89,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,강원,기존,0000041,경동대학교,3,7140,0,7814,6633,1181,109.44,92.9,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,강원,폐교,0000301,동우대학,1,0,0,0,0,0,0,0,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,강원,기존,0000086,상지대학교,1,7496,0,6873,6505,368,91.69,86.78,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,강원,폐교,0000319,상지영서대학교,1,1259,0,1083,923,160,86.02,73.31,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,강원,기존,0000348,세경대학교,1,966,0,1040,906,134,107.66,93.79,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,강원,기존,0000393,송곡대학교,1,575,0,635,514,121,110.43,89.39,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,강원,기존,0000390,송호대학교,1,885,1,946,755,191,107.01,85.41,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,강원,기존,0000110,연세대학교,2,20216,38,26256,21633,4623,130.12,107.21,2026-08-07T09:07:29.731Z
2020,상반기,교육대학,국립,대학,강원,기존,0000205,춘천교육대학교,1,1284,0,1333,1248,85,103.82,97.2,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,강원,기존,0000542,한국골프대학,1,480,0,441,404,37,91.88,84.17,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,강원,기존,0000483,한국폴리텍 III 대학,1,120,0,125,106,19,104.17,88.33,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,강원,기존,0000517,한국폴리텍 III 대학,1,75,0,80,69,11,106.67,92,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,강원,기존,0000482,한국폴리텍 III 대학,1,250,0,277,239,38,110.8,95.6,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,강원,기존,0000147,한라대학교,1,3573,0,3730,3522,208,104.39,98.57,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,강원,기존,0000148,한림대학교,1,6996,0,7800,7157,643,111.49,102.3,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,강원,기존,0000383,한림성심대학교,1,2609,0,3012,2385,627,115.45,91.41,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000044,가천대학교,1,15374,0,18678,16318,2360,121.49,106.14,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000034,가톨릭대학교,3,7086,0,8317,7477,840,117.37,105.52,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000036,강남대학교,1,5986,0,6695,6054,641,111.84,101.14,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000387,경기과학기술대학교,1,3456,14,4712,3233,1479,136.9,93.93,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000039,경기대학교,2,11759,0,13712,11827,1885,116.61,100.58,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000255,경민대학교,1,3663,0,4432,3501,931,120.99,95.58,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000259,경복대학교,1,5093,0,6455,5101,1354,126.74,100.16,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000264,계원예술대학교,1,2514,0,3009,2615,394,119.69,104.02,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000379,국제대학교,1,3806,0,3857,3607,250,101.34,94.77,2026-08-07T09:07:29.731Z
2020,상반기,사이버대학(대학),사립,대학,경기,기존,0000409,국제사이버대학교,1,2880,0,3119,2507,612,108.3,87.05,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000277,김포대학교,1,2997,0,3424,2697,727,114.25,89.99,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000278,농협대학교,1,176,0,444,177,267,252.27,100.57,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000060,단국대학교,2,18850,0,22864,20120,2744,121.29,106.74,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000285,대림대학교,1,5918,0,7325,5756,1569,123.77,97.26,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000068,대진대학교,1,7252,0,7438,6834,604,102.56,94.24,2026-08-07T09:07:29.731Z
