year,cohort,school_rep_code,school_rep_name,region,estb,school_division,student_quota,recruitment_stop,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,campus_count,grad_program_count,has_alimi,updated_at
2020,university,0000513,가톨릭관동대학교,강원,사립,대학,8498,0,8107,7474,633,88,95.4,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000041,경동대학교,강원,사립,대학,7140,0,7814,6633,1181,92.9,109.4,4,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000086,상지대학교,강원,사립,대학,7496,0,6873,6505,368,86.8,91.7,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000147,한라대학교,강원,사립,대학,3573,0,3730,3522,208,98.6,104.4,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000148,한림대학교,강원,사립,대학,6996,0,7800,7157,643,102.3,111.5,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000044,가천대학교,경기,사립,대학,15374,0,18678,16318,2360,106.1,121.5,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000034,가톨릭대학교,경기,사립,대학,7086,0,8317,7477,840,105.5,117.4,3,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000036,강남대학교,경기,사립,대학,5986,0,6695,6054,641,101.1,111.8,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000039,경기대학교,경기,사립,대학,11759,0,13712,11827,1885,100.6,116.6,2,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000060,단국대학교,경기,사립,대학,18850,0,22864,20120,2744,106.7,121.3,2,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000068,대진대학교,경기,사립,대학,7252,0,7438,6834,604,94.2,102.6,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000078,루터대학교,경기,사립,대학,355,0,369,361,8,101.7,103.9,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000079,명지대학교,경기,사립,대학,10734,0,13306,10831,2475,100.9,124,2,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000090,서울신학대학교,경기,사립,대학,2046,0,2218,2066,152,101,108.4,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000092,서울장신대학교,경기,사립,대학,461,0,476,451,25,97.8,103.3,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000095,성결대학교,경기,사립,대학,4912,0,5418,5019,399,102.2,110.3,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000101,수원가톨릭대학교,경기,사립,대학,360,0,121,118,3,32.8,33.6,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000102,수원대학교,경기,사립,대학,8784,0,9033,8283,750,94.3,102.8,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000178,신경대학교,경기,사립,대학,1016,13,569,544,25,54.2,56.7,1,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000509,신한대학교,경기,사립,대학,5812,0,6338,5432,906,93.5,109.1,2,0,Y,2026-08-15T09:17:42.571Z
2020,university,0000558,아신대학교,경기,사립,대학,744,0,617,601,16,80.8,82.9,1,0,Y,2026-08-15T09:17:42.571Z
