year,school_code_std,school_name,school_division,school_kind,region,estb,campus_count,ministry_of_education,national_scholarship,ministry_of_science_ict,ministry_of_employment,ministry_of_trade,ministry_of_health,ministry_of_culture,ministry_of_sme,ministry_of_agriculture,other_ministries,local_government,total_support,tuition_revenue,benefit_rate,uploaded_at
2020,0000072,가톨릭관동대학교,대학,대학교,강원,사립,1,27194998001,15568887220,21514778333,1152339000,148750000,704925000,95250000,2242700000,200000000,713907760,1539831340,39938592214,586,68.2,2026-08-07T20:45:18.674Z
2020,0000514,강릉영동대학교,전문대학,전문대학,강원,사립,1,8990576841,6495593808,249699000,0,0,0,67000000,0,0,60289250,391227940,3263199223,152,21.4,2026-08-07T20:45:18.674Z
2020,0000001,강릉원주대학교,대학,대학교,강원,국립,1,95013670773,13999992650,14908740000,0,660000000,0,54800000,456954200,65000000,876983200,1849162840,99885318363,0,0,2026-08-07T20:45:18.674Z
2020,0000548,강원관광대학교,전문대학,전문대학,강원,사립,1,2889733176,2755863933,0,0,0,0,0,0,0,19748510,300000000,453617753,49,9.3,2026-08-07T20:45:18.674Z
2020,0000003,강원대학교,대학,대학교,강원,국립,1,231068606916,30035091770,22845554333,670750000,4343000000,469000000,1108354000,385556780,3099000000,6772148214,8325777800,249052656273,0,0,2026-08-07T20:45:18.674Z
2020,0002639,강원도립대학교,전문대학,전문대학,강원,공립,1,2809747306,769983950,0,0,0,0,48850000,174848584,0,0,12713150000,14976611940,0,0,2026-08-07T20:45:18.674Z
2020,0000060,경동대학교,대학,대학교,강원,사립,1,14784360307,14523928050,33615558000,199905000,0,0,32550000,166235000,10000000,82957000,1648101380,36015738637,582,61.9,2026-08-07T20:45:18.674Z
2020,0000119,상지대학교,대학,대학교,강원,사립,1,15643158873,13394099010,9845035700,20000000,20000000,30000000,154500000,63539000,100000000,923574500,1197202480,14602911543,554,26.4,2026-08-07T20:45:18.674Z
2020,0000515,세경대학교,전문대학,전문대학,강원,사립,1,3046551129,2669193530,0,0,0,0,0,0,0,13538850,300000000,690896449,49,14.1,2026-08-07T20:45:18.674Z
2020,0000567,송곡대학교,전문대학,전문대학,강원,사립,1,2929267180,1482564600,0,0,0,0,0,0,0,13404500,343056000,1803163080,33,54.3,2026-08-07T20:45:18.674Z
2020,0000564,송호대학교,전문대학,전문대학,강원,사립,1,2730179553,2311084670,0,50000000,0,0,56650000,0,0,14161500,380000000,919906383,53,17.4,2026-08-07T20:45:18.674Z
2020,0000262,춘천교육대학교,대학,교육대학,강원,국립,1,21563844378,1137574660,153925000,0,0,0,0,0,0,24167850,305990000,20910352568,0,0,2026-08-07T20:45:18.674Z
2020,0000578,한국골프대학,전문대학,전문대학,강원,사립,1,1101969095,1045000500,200000000,0,0,0,37750000,0,0,15415000,200000000,510133595,32,15.9,2026-08-07T20:45:18.674Z
2020,0000594,한국폴리텍 III 대학,전문대학,기능대학,강원,사립,1,539951691,539385501,0,31871402509,0,0,0,0,0,599250,83180000,31955747949,0,0,2026-08-07T20:45:18.674Z
2020,0000197,한라대학교,대학,대학교,강원,사립,1,10271431638,6992881600,62735000,710750000,120000000,0,111800000,424048000,0,90128500,1006137000,5804148538,230,25.3,2026-08-07T20:45:18.674Z
2020,0000198,한림대학교,대학,대학교,강원,사립,1,38047243869,14271283480,8584063974,100000000,190000000,1171000000,93762500,124899000,0,1228430479,2375265550,37643381892,627,60.1,2026-08-07T20:45:18.674Z
2020,0000553,한림성심대학교,전문대학,전문대학,강원,사립,1,15406821974,7867919850,0,0,0,0,0,353100000,0,18616700,350990890,8261609714,168,49.2,2026-08-07T20:45:18.674Z
2020,0000063,가천대학교,대학,대학교,경기,사립,1,46718073522,26288227000,12214413333,714726000,2438400000,971285000,597150000,3566450000,0,2236177100,933900630,44102348585,1688,26.1,2026-08-07T20:45:18.674Z
2020,0000046,가톨릭대학교,대학,대학교,경기,사립,1,37908634613,12196827741,9107054600,0,1151000000,5108360000,1030847000,80000000,0,3527994200,374981230,46092043902,828,55.7,2026-08-07T20:45:18.674Z
2020,0000051,강남대학교,대학,대학교,경기,사립,1,18337268855,10504441400,3768406000,67584000,139800000,100000,584790000,0,0,250100000,362854830,13006462285,525,24.8,2026-08-07T20:45:18.674Z
2020,0000560,경기과학기술대학교,전문대학,전문대학,경기,사립,1,16520914149,9103133570,0,156594000,836400000,0,0,364590000,0,4570000,878082000,9658016579,285,33.9,2026-08-07T20:45:18.674Z
2020,0000056,경기대학교,대학,대학교,경기,사립,1,38585250990,23146075960,2705934000,300000000,1563964000,0,339925300,1911532000,267925000,1292689330,498193091,24319337751,1195,20.4,2026-08-07T20:45:18.674Z
2020,0000416,경민대학교,전문대학,전문대학,경기,사립,1,20532214580,11636210230,0,0,0,0,0,43832000,129146890,42115200,549807450,9660905890,281,34.4,2026-08-07T20:45:18.674Z
2020,0002641,경복대학교,전문대학,전문대학,경기,사립,1,26047137265,17797962917,0,100000000,0,0,0,243832000,0,157539500,1126139970,9876685818,398,24.8,2026-08-07T20:45:18.674Z
2020,0002643,계약신학대학원대학교,전문대학,전문대학원,경기,사립,1,0,0,50000000,0,0,0,0,0,0,0,0,50000000,2,28.9,2026-08-07T20:45:18.674Z
2020,0000426,계원예술대학교,전문대학,전문대학,경기,사립,1,7438955532,6088956320,0,100000000,0,0,149900000,150000000,0,29820460,229185840,2008905512,216,9.3,2026-08-07T20:45:18.674Z
2020,0002857,구세군사관대학원대학교,전문대학,특수대학원,경기,사립,1,0,0,56679000,0,0,0,0,0,0,0,0,56679000,2,32.8,2026-08-07T20:45:18.674Z
2020,0000549,국제대학교,전문대학,전문대학,경기,사립,1,9183153122,8348134660,40000000,100000000,0,0,0,0,0,32007700,1162082460,2169108622,233,9.3,2026-08-07T20:45:18.674Z
2020,0000655,국제법률경영대학원대학교,전문대학,전문대학원,경기,사립,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2026-08-07T20:45:18.674Z
