year,cohort,school_rep_code,school_rep_name,region,estb,school_division,central_ministries,national_scholarship,central_subtotal,local_government,total_support,tuition_revenue,benefit_rate,campus_count,has_alimi,updated_at
2020,university,0000513,가톨릭관동대학교,강원,사립,대학,53967648094,15568887220,38398760874,1539831340,39938592214,58587742.01,68.2,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000041,경동대학교,강원,사립,대학,48891565307,14523928050,34367637257,1648101380,36015738637,58162860.1,61.9,4,Y,2026-08-15T07:08:44.243Z
2020,university,0000086,상지대학교,강원,사립,대학,26799808073,13394099010,13405709063,1197202480,14602911543,55415339.59,26.4,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000147,한라대학교,강원,사립,대학,11790893138,6992881600,4798011538,1006137000,5804148538,22979957.77,25.3,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000148,한림대학교,강원,사립,대학,49539399822,14271283480,35268116342,2375265550,37643381892,62686741.71,60,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000044,가천대학교,경기,사립,대학,69456674955,26288227000,43168447955,933900630,44102348585,168762137.7,26.1,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000034,가톨릭대학교,경기,사립,대학,57913890413,12196827741,45717062672,374981230,46092043902,82770520.83,55.7,3,Y,2026-08-15T07:08:44.243Z
2020,university,0000036,강남대학교,경기,사립,대학,23148048855,10504441400,12643607455,362854830,13006462285,52505535.16,24.8,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000039,경기대학교,경기,사립,대학,46967220620,23146075960,23821144660,498193091,24319337751,119491132,20.4,2,Y,2026-08-15T07:08:44.243Z
2020,university,0000060,단국대학교,경기,사립,대학,92372151349,33391575800,58980575549,3929779820,62910355369,221932276.5,28.3,2,Y,2026-08-15T07:08:44.243Z
2020,university,0000068,대진대학교,경기,사립,대학,27138620196,14985953830,12152666366,2668251655,14820918021,56468028.61,26.2,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000078,루터대학교,경기,사립,대학,7182486010,716451500,6466034510,3915000,6469949510,2500677.2,258.7,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000079,명지대학교,경기,사립,대학,47219265639,22141625500,25077640139,303405170,25381045309,130128966.2,19.5,2,Y,2026-08-15T07:08:44.243Z
2020,university,0000090,서울신학대학교,경기,사립,대학,9582823677,5959881500,3622942177,170954000,3793896177,19630027.29,19.3,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000092,서울장신대학교,경기,사립,대학,1672501326,1314555000,357946326,29972400,387918726,5897008,6.6,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000095,성결대학교,경기,사립,대학,16106162187,9452171497,6653990690,3556141440,10210132130,38666495.45,26.4,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000101,수원가톨릭대학교,경기,사립,대학,769796473,223716800,546079673,0,546079673,982570.751,55.6,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000102,수원대학교,경기,사립,대학,26469716097,14314113310,12155602787,585518500,12741121287,72285549.01,17.6,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000178,신경대학교,경기,사립,대학,1094539462,190529200,904010262,1955440,905965702,3869698.05,23.4,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000509,신한대학교,경기,사립,대학,15628900829,12425973540,3202927289,5546017030,8748944319,57791757.95,15.1,2,Y,2026-08-15T07:08:44.243Z
2020,university,0000558,아신대학교,경기,사립,대학,21972918137,1908751760,20064166377,18417570,20082583947,7304141,274.9,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000108,아주대학교,경기,사립,대학,72139226339,12300401200,59838825139,459145600,60297970739,121505889.5,49.6,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000109,안양대학교,경기,사립,대학,95780938339,8757530050,87023408289,1058737870,88082146159,38285129.34,230.1,2,Y,2026-08-15T07:08:44.243Z
2020,university,0000115,용인대학교,경기,사립,대학,14100095559,10329078100,3771017459,74596380,3845613839,51595853,7.5,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000130,중앙승가대학교,경기,사립,대학,921821514,154067500,767754014,0,767754014,729657.73,105.2,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000139,차의과학대학교,경기,사립,대학,17593740484,3852613360,13741127124,77344680,13818471804,28583865.94,48.3,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000136,칼빈대학교,경기,사립,대학,1066804797,874158600,192646197,2555000,195201197,7057672,2.8,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000138,평택대학교,경기,사립,대학,45870017026,6250475501,39619541525,111130430,39730671955,30298819.27,131.1,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000191,한국산업기술대학교,경기,사립,대학,38522381607,10350515940,28171865667,319530720,28491396387,59815790.03,47.6,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000144,한국항공대학교,경기,사립,대학,16758061682,4969632700,11788428982,443863700,12232292682,37955419.7,32.2,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000151,한세대학교,경기,사립,대학,9212255222,4695596500,4516658722,53893700,4570552422,24857871.97,18.4,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000152,한신대학교,경기,사립,대학,46084855602,9043605340,37041250262,1149291530,38190541792,37527804.61,101.8,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000156,협성대학교,경기,사립,대학,13424866397,8522213630,4902652767,438005700,5340658467,31335490.4,17,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000032,가야대학교,경남,사립,대학,15229190345,4421215760,10807974585,0,10807974585,14881197.78,72.6,2,Y,2026-08-15T07:08:44.243Z
2020,university,0000040,경남대학교,경남,사립,대학,38948097483,20590129365,18357968118,3511707500,21869675618,77583649.5,28.2,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000167,부산장신대학교,경남,사립,대학,2011118208,391854500,1619263708,0,1619263708,2415840.33,67,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000181,영산대학교,경남,사립,대학,0,0,0,0,0,0,,2,N,2026-08-15T07:08:44.243Z
2020,university,0000122,인제대학교,경남,사립,대학,32396645257,16728834500,15667810757,1169400000,16837210757,75343396.8,22.3,2,Y,2026-08-15T07:08:44.243Z
2020,university,0000193,창신대학교,경남,사립,대학,6601304143,2678590720,3922713423,308275000,4230988423,13467324.47,31.4,1,Y,2026-08-15T07:08:44.243Z
2020,university,0000174,한국국제대학교,경남,사립,대학,0,0,0,0,0,0,,1,N,2026-08-15T07:08:44.243Z
2020,university,0000188,경운대학교,경북,사립,대학,21338059261,10377085500,10960973761,1001261000,11962234761,33217838.17,36,1,Y,2026-08-15T07:08:44.243Z
