year,school_kind,estb,school_division,region,status,school_code_std,school_name,admission_quota,recruit_total,recruit_within,recruit_outside,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,uploaded_at
2025,대학교,사립,,경남,기존,0002748,가야대학교(김해),405,432,409,23,414,389,25,95.11,95.83,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000063,가천대학교,4071,5541,4071,1470,5498,4071,1427,100,99.22,2026-08-07T07:48:15.697Z
2025,대학교,사립,,강원,기존,0000072,가톨릭관동대학교,1815,1869,1696,173,1532,1403,129,82.72,81.97,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충북,기존,0000215,가톨릭꽃동네대학교,108,127,110,17,113,106,7,96.36,88.98,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000046,가톨릭대학교,1574,1872,1575,297,1857,1575,282,100,99.2,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000048,가톨릭대학교_제2캠퍼스,173,181,173,8,178,173,5,100,98.34,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000049,가톨릭대학교_제3캠퍼스,50,57,50,7,54,50,4,100,94.74,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000050,감리교신학대학교,192,181,154,27,160,154,6,100,88.4,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000051,강남대학교,1491,1636,1491,145,1601,1491,110,100,97.86,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000079,강서대학교,277,459,277,182,433,277,156,100,94.34,2026-08-07T07:48:15.697Z
2025,대학교,국립,,강원,기존,0000003,강원대학교,3197,3599,3157,442,3590,3156,434,99.97,99.75,2026-08-07T07:48:15.697Z
2025,대학교,국립,,강원,기존,0000004,강원대학교_제2캠퍼스,1309,1396,1315,81,1393,1315,78,100,99.79,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충북,기존,0000053,건국대학교(글로컬)_분교,1629,1834,1635,199,1795,1633,162,99.88,97.87,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000052,건국대학교,3000,3740,3024,716,3736,3021,715,99.9,99.89,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충남,기존,0000054,건양대학교,667,763,672,91,739,668,71,99.4,96.85,2026-08-07T07:48:15.697Z
2025,대학교,사립,,대전,기존,0000055,건양대학교_제2캠퍼스,1015,1079,1015,64,1067,1013,54,99.8,98.89,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,대전,기존,0000335,건양사이버대학교,1068,6679,1068,5611,1312,823,489,77.06,19.64,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000056,경기대학교,2618,2892,2620,272,2813,2604,209,99.39,97.27,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000058,경기대학교_제2캠퍼스,328,378,328,50,365,328,37,100,96.56,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경남,기존,0000059,경남대학교,1960,2170,1960,210,2073,1888,185,96.33,95.53,2026-08-07T07:48:15.697Z
2025,대학교,사립,,강원,기존,0000060,경동대학교,0,164,0,164,133,0,133,,81.1,2026-08-07T07:48:15.697Z
2025,대학교,사립,,강원,기존,0002574,경동대학교_제3캠퍼스,842,931,845,86,909,844,65,99.88,97.64,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0002744,경동대학교_제4캠퍼스,713,728,717,11,749,717,32,100,102.88,2026-08-07T07:48:15.697Z
2025,대학교,국립,,대구,기존,0000005,경북대학교,5269,5796,5227,569,5694,5221,473,99.89,98.24,2026-08-07T07:48:15.697Z
2025,대학교,국립,,경남,기존,0000007,경상국립대학교,4452,4792,4402,390,4683,4400,283,99.95,97.73,2026-08-07T07:48:15.697Z
2025,대학교,사립,,부산,기존,0000062,경성대학교,2765,3137,2768,369,3121,2761,360,99.75,99.49,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000244,경운대학교,1184,1476,1184,292,1322,1183,139,99.92,89.57,2026-08-07T07:48:15.697Z
2025,교육대학,국립,,인천,기존,0000256,경인교육대학교,526,584,530,54,575,526,49,99.25,98.46,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000064,경일대학교,1521,1938,1521,417,1843,1521,322,100,95.1,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000066,경희대학교,4873,6008,4887,1121,5981,4866,1115,99.57,99.55,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,서울,기존,0000318,경희사이버대학교,3000,8415,3000,5415,2518,1915,603,63.83,29.92,2026-08-07T07:48:15.697Z
2025,대학교,사립,,대구,기존,0000068,계명대학교,4663,5388,4665,723,5245,4665,580,100,97.35,2026-08-07T07:48:15.697Z
2025,대학교,사립,,세종,기존,0000070,고려대학교(세종)_분교,1626,1795,1626,169,1777,1626,151,100,99,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000069,고려대학교,4142,5237,4148,1089,5183,4104,1079,98.94,98.97,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,서울,기존,0000328,고려사이버대학교,2449,9031,2449,6582,2494,2262,232,92.36,27.62,2026-08-07T07:48:15.697Z
2025,대학교,사립,,부산,기존,0000071,고신대학교,753,810,753,57,771,742,29,98.54,95.19,2026-08-07T07:48:15.697Z
2025,교육대학,국립,,충남,기존,0000251,공주교육대학교,354,342,313,29,336,313,23,100,98.25,2026-08-07T07:48:15.697Z
2025,대학교,사립,,광주,기존,0000073,광신대학교,105,133,105,28,128,105,23,100,96.24,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000074,광운대학교,1823,2186,1825,361,2177,1820,357,99.73,99.59,2026-08-07T07:48:15.697Z
2025,대학교,사립,,전남,기존,0000075,광주가톨릭대학교,40,45,40,5,20,20,0,50,44.44,2026-08-07T07:48:15.697Z
2025,대학교,특별법법인,,광주,기존,0000381,광주과학기술원,200,230,200,30,246,222,24,111,106.96,2026-08-07T07:48:15.697Z
2025,교육대학,국립,,광주,기존,0000252,광주교육대학교,326,316,289,27,306,288,18,99.65,96.84,2026-08-07T07:48:15.697Z
2025,대학교,사립,,광주,기존,0000231,광주대학교,1363,1359,1275,84,1210,1155,55,90.59,89.04,2026-08-07T07:48:15.697Z
2025,대학교,사립,,광주,기존,0000076,광주여자대학교,912,947,899,48,917,876,41,97.44,96.83,2026-08-07T07:48:15.697Z
2025,대학교,국립,,강원,기존,0000001,국립강릉원주대학교,1241,1331,1240,91,1311,1230,81,99.19,98.5,2026-08-07T07:48:15.697Z
2025,대학교,국립,,강원,기존,0000002,국립강릉원주대학교_제2캠퍼스,489,514,489,25,512,488,24,99.8,99.61,2026-08-07T07:48:15.697Z
2025,대학교,국립,,경북,기존,0000021,국립경국대학교,1539,1628,1539,89,1443,1389,54,90.25,88.64,2026-08-07T07:48:15.697Z
2025,대학교,국립,,충남,기존,0000008,국립공주대학교,2815,3547,2818,729,3227,2818,409,100,90.98,2026-08-07T07:48:15.697Z
2025,대학교,국립,,전북,기존,0000009,국립군산대학교,1723,1925,1723,202,1833,1723,110,100,95.22,2026-08-07T07:48:15.697Z
2025,대학교,국립,,경북,기존,0000010,국립금오공과대학교,1239,1367,1234,133,1298,1229,69,99.59,94.95,2026-08-07T07:48:15.697Z
2025,대학교,국립,,전남,기존,0000011,국립목포대학교,1484,1668,1484,184,1575,1483,92,99.93,94.42,2026-08-07T07:48:15.697Z
2025,대학교,국립,,전남,기존,0000012,국립목포해양대학교,692,768,696,72,749,695,54,99.86,97.53,2026-08-07T07:48:15.697Z
2025,대학교,국립,,부산,기존,0000013,국립부경대학교,3338,3750,3304,446,3733,3303,430,99.97,99.55,2026-08-07T07:48:15.697Z
2025,대학교,국립,,전남,기존,0000020,국립순천대학교,1573,1747,1573,174,1696,1569,127,99.75,97.08,2026-08-07T07:48:15.697Z
2025,대학교,국립,,경남,기존,0000028,국립창원대학교,1742,1975,1750,225,1896,1741,155,99.49,96,2026-08-07T07:48:15.697Z
2025,대학교,국립,,충북,기존,0000034,국립한국교통대학교,1911,2163,1906,257,2117,1905,212,99.95,97.87,2026-08-07T07:48:15.697Z
2025,대학교,국립,,부산,기존,0000033,국립한국해양대학교,1372,1550,1371,179,1494,1371,123,100,96.39,2026-08-07T07:48:15.697Z
2025,대학교,국립,,대전,기존,0000039,국립한밭대학교,1901,2171,1900,271,2098,1877,221,98.79,96.64,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000078,국민대학교,2966,3495,2966,529,3484,2961,523,99.83,99.69,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,경기,기존,0000319,국제사이버대학교,900,3377,900,2477,1075,900,175,100,31.83,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충북,기존,0000080,극동대학교,900,1031,910,121,841,745,96,81.87,81.57,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,충남,기존,0000334,글로벌사이버대학교,1040,1762,1040,722,710,703,7,67.6,40.3,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충남,기존,0000224,금강대학교,110,110,110,0,11,11,0,10,10,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000241,김천대학교,634,815,634,181,769,616,153,97.16,94.36,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충남,기존,0000081,나사렛대학교,1171,1348,1175,173,1312,1174,138,99.91,97.33,2026-08-07T07:48:15.697Z
2025,대학교,사립,,광주,기존,0000216,남부대학교,617,667,621,46,640,616,24,99.19,95.95,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충남,기존,0000245,남서울대학교,2202,2677,2202,475,2479,2202,277,100,92.6,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000082,단국대학교,2275,2687,2276,411,2631,2268,363,99.65,97.92,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충남,기존,0002726,단국대학교_제2캠퍼스,2391,2521,2352,169,2484,2340,144,99.49,98.53,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000088,대구가톨릭대학교,2508,2953,2508,445,2862,2506,356,99.92,96.92,2026-08-07T07:48:15.697Z
2025,대학교,특별법법인,,대구,기존,0000382,대구경북과학기술원,200,240,200,40,230,193,37,96.5,95.83,2026-08-07T07:48:15.697Z
2025,교육대학,국립,,대구,기존,0000253,대구교육대학교,383,380,339,41,374,338,36,99.71,98.42,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000084,대구대학교,3850,4447,3822,625,4127,3814,313,99.79,92.8,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,경북,기존,0000320,대구사이버대학교,1500,3942,1500,2442,923,536,387,35.73,23.41,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000087,대구예술대학교,300,408,300,108,114,18,96,6,27.94,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000061,대구한의대학교,1400,1953,1400,553,1893,1398,495,99.86,96.93,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000093,대신대학교,150,697,150,547,697,150,547,100,100,2026-08-07T07:48:15.697Z
2025,대학교,사립,,세종,기존,0000094,대전가톨릭대학교,40,40,40,0,12,12,0,30,30,2026-08-07T07:48:15.697Z
2025,대학교,사립,,대전,기존,0000095,대전대학교,1782,2102,1789,313,2042,1788,254,99.94,97.15,2026-08-07T07:48:15.697Z
2025,대학교,사립,,대전,기존,0000238,대전신학대학교,32,37,32,5,11,11,0,34.38,29.73,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000097,대진대학교,1737,2018,1739,279,1993,1737,256,99.88,98.76,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000099,덕성여자대학교,1215,1395,1215,180,1366,1215,151,100,97.92,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000101,동국대학교(WISE)_분교,1825,1971,1816,155,1924,1815,109,99.94,97.62,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000100,동국대학교,2836,3324,2837,487,3317,2834,483,99.89,99.79,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000102,동덕여자대학교,1577,1790,1579,211,1732,1578,154,99.94,96.76,2026-08-07T07:48:15.697Z
2025,대학교,사립,,부산,기존,0000235,동명대학교,1424,1690,1424,266,1594,1383,211,97.12,94.32,2026-08-07T07:48:15.697Z
2025,대학교,사립,,부산,기존,0000103,동서대학교,2094,2363,2094,269,2318,2099,219,100.24,98.1,2026-08-07T07:48:15.697Z
2025,대학교,사립,,전남,기존,0000104,동신대학교,1459,1625,1453,172,1489,1359,130,93.53,91.63,2026-08-07T07:48:15.697Z
2025,대학교,사립,,부산,기존,0000105,동아대학교,4159,4706,4164,542,4577,4159,418,99.88,97.26,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경북,기존,0000106,동양대학교,1010,1184,1010,174,1179,1010,169,100,99.58,2026-08-07T07:48:15.697Z
2025,대학교,사립,,부산,기존,0000107,동의대학교,3589,4087,3531,556,4014,3531,483,100,98.21,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,서울,기존,0000330,디지털서울문화예술대학교,990,6012,990,5022,849,793,56,80.1,14.12,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000108,루터대학교,85,96,85,11,86,85,1,100,89.58,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000109,명지대학교,1264,1389,1265,124,1375,1264,111,99.92,98.99,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000111,명지대학교_제2캠퍼스,1263,1750,1265,485,1665,1264,401,99.92,95.14,2026-08-07T07:48:15.697Z
2025,대학교,사립,,대전,기존,0000112,목원대학교,1840,1961,1748,213,1954,1748,206,100,99.64,2026-08-07T07:48:15.697Z
2025,대학교,사립,,전남,기존,0000221,목포가톨릭대학교,120,127,121,6,120,114,6,94.21,94.49,2026-08-07T07:48:15.697Z
2025,대학교,사립,,대전,기존,0000113,배재대학교,1798,2043,1807,236,2006,1807,199,100,98.19,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충남,기존,0000178,백석대학교,2790,3285,2790,495,3032,2790,242,100,92.3,2026-08-07T07:48:15.697Z
2025,대학교,사립,,부산,기존,0000114,부산가톨릭대학교,705,935,697,238,811,693,118,99.43,86.74,2026-08-07T07:48:15.697Z
2025,교육대학,국립,,부산,기존,0000254,부산교육대학교,313,345,316,29,343,314,29,99.37,99.42,2026-08-07T07:48:15.697Z
2025,대학교,국립,,부산,기존,0000014,부산대학교,4498,4910,4468,442,4847,4457,390,99.75,98.72,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,부산,기존,0000321,부산디지털대학교,1000,3884,1000,2884,963,822,141,82.2,24.79,2026-08-07T07:48:15.697Z
2025,대학교,사립,,부산,기존,0000115,부산외국어대학교,1470,1792,1471,321,1696,1472,224,100.07,94.64,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경남,기존,0000222,부산장신대학교,32,36,32,4,32,32,0,100,88.89,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,서울,기존,0000332,사이버한국외국어대학교,1750,3542,1750,1792,1897,1418,479,81.03,53.56,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000116,삼육대학교,1157,1376,1157,219,1351,1157,194,100,98.18,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000117,상명대학교,1302,1568,1303,265,1538,1305,233,100.15,98.09,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충남,기존,0002959,상명대학교_제2캠퍼스,1345,1446,1345,101,1422,1345,77,100,98.34,2026-08-07T07:48:15.697Z
2025,대학교,사립,,강원,기존,0000119,상지대학교,1666,1697,1531,166,1593,1526,67,99.67,93.87,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000120,서강대학교,1602,2020,1616,404,1994,1600,394,99.01,98.71,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000121,서경대학교,1309,1988,1309,679,1707,1309,398,100,85.87,2026-08-07T07:48:15.697Z
2025,대학교,국립,,서울,기존,0000036,서울과학기술대학교,2227,2650,2228,422,2641,2226,415,99.91,99.66,2026-08-07T07:48:15.697Z
2025,교육대학,국립,,서울,기존,0000255,서울교육대학교,355,354,314,40,341,313,28,99.68,96.33,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000098,서울기독대학교,136,335,143,192,307,120,187,83.92,91.64,2026-08-07T07:48:15.697Z
2025,대학교,국립대법인,,서울,기존,0000019,서울대학교,3476,3763,3477,286,3743,3465,278,99.65,99.47,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,서울,기존,0000322,서울디지털대학교,3000,7944,3000,4944,2764,2005,759,66.83,34.79,2026-08-07T07:48:15.697Z
2025,사이버대학(대학),사립,,서울,기존,0000323,서울사이버대학교,3270,12605,3270,9335,4146,3082,1064,94.25,32.89,2026-08-07T07:48:15.697Z
2025,대학교,공립,,서울,기존,0000040,서울시립대학교,1747,1916,1747,169,1908,1745,163,99.89,99.58,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000125,서울신학대학교,477,550,477,73,512,477,35,100,93.09,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000126,서울여자대학교,1612,1962,1611,351,1936,1610,326,99.94,98.67,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000127,서울장신대학교,104,100,85,15,129,85,44,100,129,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000205,서울한영대학교,180,409,182,227,384,181,203,99.45,93.89,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충북,기존,0000128,서원대학교,1622,2102,1622,480,2035,1622,413,100,96.81,2026-08-07T07:48:15.697Z
2025,대학교,사립,,충남,기존,0000129,선문대학교,2053,2391,2059,332,2401,2059,342,100,100.42,2026-08-07T07:48:15.697Z
2025,대학교,사립,,경기,기존,0000131,성결대학교,1228,1311,1229,82,1311,1229,82,100,100,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000132,성공회대학교,502,555,502,53,538,504,34,100.4,96.94,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000133,성균관대학교,3555,4631,3552,1079,4609,3529,1080,99.35,99.52,2026-08-07T07:48:15.697Z
2025,대학교,사립,,서울,기존,0000136,성신여자대학교,2060,2367,2067,300,2350,2061,289,99.71,99.28,2026-08-07T07:48:15.697Z
