year,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,admission_quota,recruit_total,recruit_within,recruit_outside,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,consolidated_at
2020,대학교,사립,대학,강원,기존,0000513,가톨릭관동대학교,1,2080,2271,2092,179,2236,2075,161,99.19,98.46,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,강원,기존,0000347,강릉영동대학교,1,1027,1314,1027,287,950,801,149,77.99,72.3,2026-08-07T07:48:15.946Z
2020,대학교,국립,대학,강원,기존,0000572,강릉원주대학교,2,1833,1977,1835,142,1954,1830,124,99.73,98.84,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,강원,폐교,0000378,강원관광대학교,1,475,670,475,195,429,350,79,73.68,64.03,2026-08-07T07:48:15.946Z
2020,대학교,국립,대학,강원,기존,0000002,강원대학교,2,4487,4819,4501,318,4785,4486,299,99.67,99.29,2026-08-07T07:48:15.946Z
2020,전문대학,공립,전문대학,강원,기존,0000531,강원도립대학교,1,312,330,312,18,315,312,3,100,95.45,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,강원,기존,0000041,경동대학교,3,1785,2028,1787,241,1991,1785,206,99.89,98.18,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,강원,기존,0000086,상지대학교,1,2255,2427,2282,145,2304,2226,78,97.55,94.93,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,강원,기존,0000348,세경대학교,1,463,625,463,162,524,463,61,100,83.84,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,강원,기존,0000393,송곡대학교,1,200,236,200,36,230,196,34,98,97.46,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,강원,기존,0000390,송호대학교,1,329,487,328,159,406,310,96,94.51,83.37,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,강원,기존,0000110,연세대학교,2,4883,5714,4903,811,5682,4890,792,99.73,99.44,2026-08-07T07:48:15.946Z
2020,교육대학,국립,대학,강원,기존,0000205,춘천교육대학교,1,321,346,321,25,342,321,21,100,98.84,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,강원,기존,0000542,한국골프대학,1,160,310,160,150,196,160,36,100,63.23,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,강원,기존,0000483,한국폴리텍 III 대학,1,60,72,60,12,70,58,12,96.67,97.22,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,강원,기존,0000517,한국폴리텍 III 대학,1,50,57,50,7,57,50,7,100,100,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,강원,기존,0000482,한국폴리텍 III 대학,1,125,144,124,20,144,124,20,100,100,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,강원,기존,0000147,한라대학교,1,888,953,891,62,938,882,56,98.99,98.43,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,강원,기존,0000148,한림대학교,1,1711,1835,1715,120,1825,1713,112,99.88,99.46,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,강원,기존,0000383,한림성심대학교,1,1066,1483,1066,417,1317,1040,277,97.56,88.81,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000044,가천대학교,1,3766,4189,3766,423,4186,3764,422,99.95,99.93,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000034,가톨릭대학교,3,1695,1855,1696,159,1832,1694,138,99.88,98.76,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000036,강남대학교,1,1491,1643,1500,143,1616,1500,116,100,98.36,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000387,경기과학기술대학교,1,1468,3573,1468,2105,2351,1468,883,100,65.8,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000039,경기대학교,2,2926,3434,2932,502,3398,2928,470,99.86,98.95,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000255,경민대학교,1,1573,2322,1573,749,2064,1573,491,100,88.89,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000259,경복대학교,1,1905,2924,1905,1019,2573,1905,668,100,88,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000264,계원예술대학교,1,1069,1482,1069,413,1318,1069,249,100,88.93,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000379,국제대학교,1,1734,2399,1734,665,1781,1674,107,96.54,74.24,2026-08-07T07:48:15.946Z
2020,사이버대학(대학),사립,대학,경기,기존,0000409,국제사이버대학교,1,900,2388,900,1488,1035,900,135,100,43.34,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000277,김포대학교,1,1294,2012,1294,718,1548,1158,390,89.49,76.94,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000278,농협대학교,1,59,179,59,120,179,59,120,100,100,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000060,단국대학교,2,4615,5169,4630,539,5104,4615,489,99.68,98.74,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000285,대림대학교,1,2278,4408,2278,2130,3223,2278,945,100,73.12,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000068,대진대학교,1,1793,2003,1793,210,1920,1792,128,99.94,95.86,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000294,동남보건대학교,1,1336,1866,1336,530,1793,1336,457,100,96.09,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000287,동서울대학교,1,2279,2862,2279,583,2707,2279,428,100,94.58,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000298,동아방송예술대학교,1,823,1303,823,480,1200,823,377,100,92.1,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000302,동원대학교,1,1618,2579,1618,961,1755,1542,213,95.3,68.05,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000305,두원공과대학교,1,1907,2135,1907,228,1718,1583,135,83.01,80.47,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000078,루터대학교,1,85,90,86,4,87,86,1,100,96.67,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000079,명지대학교,2,2660,3212,2673,539,3179,2665,514,99.7,98.97,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000316,부천대학교,1,2299,4462,2299,2163,3617,2299,1318,100,81.06,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000090,서울신학대학교,1,502,551,502,49,534,502,32,100,96.91,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000323,서울예술대학교,1,630,1398,630,768,1158,630,528,100,82.83,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000092,서울장신대학교,1,113,126,113,13,119,112,7,99.12,94.44,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000392,서정대학교,1,1422,3659,1422,2237,2679,1422,1257,100,73.22,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000095,성결대학교,1,1228,1327,1228,99,1303,1228,75,100,98.19,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000101,수원가톨릭대학교,1,90,91,90,1,35,35,0,38.89,38.46,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000330,수원과학대학교,1,2557,3128,2557,571,2595,2370,225,92.69,82.96,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000102,수원대학교,1,2196,2363,2198,165,2327,2197,130,99.95,98.48,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000329,수원여자대학교,1,1650,2024,1650,374,1829,1650,179,100,90.37,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,000567,신경대학교,1,246,259,246,13,163,161,2,65.45,62.93,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000334,신구대학교,1,2355,2989,2355,634,2973,2355,618,100,99.46,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000339,신안산대학교,1,1850,2302,1850,452,2008,1781,227,96.27,87.23,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,000509,신한대학교,2,1453,1611,1466,145,1577,1466,111,100,97.89,2026-08-07T07:48:15.946Z
