year,cohort,school_rep_code,school_rep_name,region,estb,school_division,admission_quota,recruit_total,recruit_within,recruit_outside,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,campus_count,grad_program_count,has_alimi,updated_at
2020,university,0000513,가톨릭관동대학교,강원,사립,대학,2080,2271,2092,179,2236,2075,161,99.2,98.5,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000041,경동대학교,강원,사립,대학,1785,2028,1787,241,1991,1785,206,99.9,98.2,4,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000086,상지대학교,강원,사립,대학,2255,2427,2282,145,2304,2226,78,97.5,94.9,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000147,한라대학교,강원,사립,대학,888,953,891,62,938,882,56,99,98.4,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000148,한림대학교,강원,사립,대학,1711,1835,1715,120,1825,1713,112,99.9,99.5,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000044,가천대학교,경기,사립,대학,3766,4189,3766,423,4186,3764,422,99.9,99.9,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000034,가톨릭대학교,경기,사립,대학,1695,1855,1696,159,1832,1694,138,99.9,98.8,3,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000036,강남대학교,경기,사립,대학,1491,1643,1500,143,1616,1500,116,100,98.4,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000039,경기대학교,경기,사립,대학,2926,3434,2932,502,3398,2928,470,99.9,99,2,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000060,단국대학교,경기,사립,대학,4615,5169,4630,539,5104,4615,489,99.7,98.7,2,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000068,대진대학교,경기,사립,대학,1793,2003,1793,210,1920,1792,128,99.9,95.9,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000078,루터대학교,경기,사립,대학,85,90,86,4,87,86,1,100,96.7,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000079,명지대학교,경기,사립,대학,2660,3212,2673,539,3179,2665,514,99.7,99,2,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000090,서울신학대학교,경기,사립,대학,502,551,502,49,534,502,32,100,96.9,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000092,서울장신대학교,경기,사립,대학,113,126,113,13,119,112,7,99.1,94.4,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000095,성결대학교,경기,사립,대학,1228,1327,1228,99,1303,1228,75,100,98.2,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000101,수원가톨릭대학교,경기,사립,대학,90,91,90,1,35,35,0,38.9,38.5,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000102,수원대학교,경기,사립,대학,2196,2363,2198,165,2327,2197,130,100,98.5,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000178,신경대학교,경기,사립,대학,246,259,246,13,163,161,2,65.4,62.9,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000509,신한대학교,경기,사립,대학,1453,1611,1466,145,1577,1466,111,100,97.9,2,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000558,아신대학교,경기,사립,대학,186,200,186,14,155,152,3,81.7,77.5,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000108,아주대학교,경기,사립,대학,1861,2199,1867,332,2179,1861,318,99.7,99.1,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000109,안양대학교,경기,사립,대학,1131,1269,1135,134,1194,1126,68,99.2,94.1,2,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000115,용인대학교,경기,사립,대학,1403,1740,1412,328,1654,1406,248,99.6,95.1,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000130,중앙승가대학교,경기,사립,대학,120,130,122,8,39,33,6,27,30,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000139,차의과학대학교,경기,사립,대학,474,501,474,27,498,474,24,100,99.4,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000136,칼빈대학교,경기,사립,대학,90,141,92,49,115,92,23,100,81.6,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000138,평택대학교,경기,사립,대학,855,970,859,111,959,855,104,99.5,98.9,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000191,한국산업기술대학교,경기,사립,대학,1380,1857,1382,475,1701,1381,320,99.9,91.6,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000144,한국항공대학교,경기,사립,대학,827,939,829,110,928,819,109,98.8,98.8,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000151,한세대학교,경기,사립,대학,566,651,567,84,616,565,51,99.6,94.6,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000152,한신대학교,경기,사립,대학,1171,1309,1173,136,1274,1173,101,100,97.3,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000156,협성대학교,경기,사립,대학,1004,1065,1008,57,1062,1006,56,99.8,99.7,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000032,가야대학교,경남,사립,대학,568,605,573,32,496,469,27,81.8,82,2,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000040,경남대학교,경남,사립,대학,2840,3031,2853,178,2889,2733,156,95.8,95.3,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000167,부산장신대학교,경남,사립,대학,49,54,49,5,49,48,1,98,90.7,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000181,영산대학교,경남,사립,대학,0,0,0,0,0,0,0,,,2,0,N,2026-08-15T03:27:05.075Z
2020,university,0000122,인제대학교,경남,사립,대학,2168,2349,2171,178,2272,2149,123,99,96.7,2,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000193,창신대학교,경남,사립,대학,500,527,500,27,523,500,23,100,99.2,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000174,한국국제대학교,경남,사립,대학,540,569,538,31,179,175,4,32.5,31.5,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000188,경운대학교,경북,사립,대학,1184,1246,1184,62,1227,1165,62,98.4,98.5,1,0,Y,2026-08-15T03:27:05.075Z
2020,university,0000045,경일대학교,경북,사립,대학,1584,1856,1591,265,1772,1580,192,99.3,95.5,1,0,Y,2026-08-15T03:27:05.075Z
