year,school_code_std,school_name,school_division,school_kind,region,estb,school_funds_carryover,school_funds_endowment,industry_carryover,industry_endowment,total_funds,tuition_revenue,fund_secure_rate,uploaded_at
2020,0002748,가야대학교(김해),대학,대학교,경남,사립,1116530,27074722,167160,,28358412,14881198,190.6,2026-08-01T02:42:38.332Z
2020,0000063,가천대학교,대학,대학교,경기,사립,24578402,72701342,14671159,,111950903,168762138,66.3,2026-08-01T02:42:38.332Z
2020,0000072,가톨릭관동대학교,대학,대학교,강원,사립,2089888,8438995,1696460,,12225343,58587742,20.9,2026-08-01T02:42:38.332Z
2020,0000215,가톨릭꽃동네대학교,대학,대학교,충북,사립,687794,2881897,43950,,3613641,3524694,102.5,2026-08-01T02:42:38.332Z
2020,0000046,가톨릭대학교,대학,대학교,경기,사립,5613379,119564619,25196574,,150374571,82770521,181.7,2026-08-01T02:42:38.332Z
2020,0000050,감리교신학대학교,대학,대학교,서울,사립,2124842,8699177,17433,,10841452,9013574,120.3,2026-08-01T02:42:38.332Z
2020,0000051,강남대학교,대학,대학교,경기,사립,2043167,6595614,3738773,,12377554,52505535,23.6,2026-08-01T02:42:38.332Z
2020,0000052,건국대학교,대학,대학교,서울,사립,7300025,87897839,28593459,7200010,130991334,232698112,56.3,2026-08-01T02:42:38.332Z
2020,0000054,건양대학교,대학,대학교,충남,사립,8338776,102591583,2967117,,113897476,51893414,219.5,2026-08-01T02:42:38.332Z
2020,0000056,경기대학교,대학,대학교,경기,사립,13253765,46756544,7216835,3003514,70230659,119491132,58.8,2026-08-01T02:42:38.332Z
2020,0000059,경남대학교,대학,대학교,경남,사립,8272477,98913154,4222177,,111407809,77583650,143.6,2026-08-01T02:42:38.332Z
2020,0000060,경동대학교,대학,대학교,강원,사립,15632539,13911400,375214,,29919153,58162860,51.4,2026-08-01T02:42:38.332Z
2020,0000062,경성대학교,대학,대학교,부산,사립,2825248,25674060,3392575,,31891883,82234747,38.8,2026-08-01T02:42:38.332Z
2020,0000244,경운대학교,대학,대학교,경북,사립,864897,399989,1813805,,3078691,33217838,9.3,2026-08-01T02:42:38.332Z
2020,0000064,경일대학교,대학,대학교,경북,사립,3826516,8306782,5910214,,18043513,46013829,39.2,2026-08-01T02:42:38.332Z
2020,0000065,신경주대학교,대학,대학교,경북,사립,-5290234,,211223,,-5079011,6976203,-72.8,2026-08-01T02:42:38.332Z
2020,0000066,경희대학교,대학,대학교,서울,사립,9005976,112617269,38048853,5067680,164739778,289984318,56.8,2026-08-01T02:42:38.332Z
2020,0000068,계명대학교,대학,대학교,대구,사립,12264173,230617220,12486928,2022910,257391231,163092514,157.8,2026-08-01T02:42:38.332Z
2020,0000069,고려대학교,대학,대학교,서울,사립,22191818,328875394,66605358,,417672569,352941598,118.3,2026-08-01T02:42:38.332Z
2020,0000071,고신대학교,대학,대학교,부산,사립,-801023,3645066,618749,,3462793,29690495,11.7,2026-08-01T02:42:38.332Z
2020,0000073,광신대학교,대학,대학교,광주,사립,-68789,4844,,,-63945,5515697,-1.2,2026-08-01T02:42:38.332Z
2020,0000074,광운대학교,대학,대학교,서울,사립,4176520,22073840,9772935,,36023294,76370613,47.2,2026-08-01T02:42:38.332Z
2020,0000075,광주가톨릭대학교,대학,대학교,전남,사립,278818,20431351,,,20710168,,0,2026-08-01T02:42:38.332Z
2020,0000231,광주대학교,대학,대학교,광주,사립,2184829,13106633,2709466,102600,18103529,44202214,41,2026-08-01T02:42:38.332Z
2020,0000076,광주여자대학교,대학,대학교,광주,사립,2563529,13367000,504081,,16434611,24667441,66.6,2026-08-01T02:42:38.332Z
2020,0000078,국민대학교,대학,대학교,서울,사립,2822368,159054871,-7030301,3000000,157846938,151941942,103.9,2026-08-01T02:42:38.332Z
2020,0000080,극동대학교,대학,대학교,충북,사립,1241856,221677,286684,,1750216,26690535,6.6,2026-08-01T02:42:38.332Z
2020,0000224,금강대학교,대학,대학교,충남,사립,417575,1194140,504473,,2116188,2417714,87.5,2026-08-01T02:42:38.332Z
2020,0000241,김천대학교,대학,대학교,경북,사립,-965569,,63983,,-901585,20362792,-4.4,2026-08-01T02:42:38.332Z
2020,0000081,나사렛대학교,대학,대학교,충남,사립,914563,7289266,288180,,8492009,37338009,22.7,2026-08-01T02:42:38.332Z
2020,0000216,남부대학교,대학,대학교,광주,사립,7089199,11030530,372661,,18492391,21387951,86.5,2026-08-01T02:42:38.332Z
2020,0000245,남서울대학교,대학,대학교,충남,사립,4664924,13889949,2962702,900000,22417575,73962775,30.3,2026-08-01T02:42:38.332Z
2020,0000082,단국대학교,대학,대학교,경기,사립,6959992,26336472,17869653,,51166117,221932276,23.1,2026-08-01T02:42:38.332Z
2020,0000088,대구가톨릭대학교,대학,대학교,경북,사립,6738827,73489694,3697632,2981769,86907921,92699560,93.8,2026-08-01T02:42:38.332Z
2020,0000084,대구대학교,대학,대학교,경북,사립,14701739,109257451,2430286,1521907,127911383,124908128,102.4,2026-08-01T02:42:38.332Z
2020,0000087,대구예술대학교,대학,대학교,경북,사립,4732099,4463100,119793,,9314992,7638563,121.9,2026-08-01T02:42:38.332Z
2020,0000061,대구한의대학교,대학,대학교,경북,사립,4911668,9699576,3520323,,18131568,49198346,36.9,2026-08-01T02:42:38.332Z
2020,0000093,대신대학교,대학,대학교,경북,사립,492963,1148988,26636,,1668586,3634566,45.9,2026-08-01T02:42:38.332Z
2020,0000094,대전가톨릭대학교,대학,대학교,세종,사립,179759,3159420,,,3339178,444970,750.4,2026-08-01T02:42:38.332Z
2020,0000095,대전대학교,대학,대학교,대전,사립,6552126,20290434,4055779,,30898339,68080580,45.4,2026-08-01T02:42:38.332Z
2020,0000238,대전신학대학교,대학,대학교,대전,사립,-809574,,,,-809574,1025169,-79,2026-08-01T02:42:38.332Z
2020,0000097,대진대학교,대학,대학교,경기,사립,3919472,2702227,1012711,,7634409,56468029,13.5,2026-08-01T02:42:38.332Z
2020,0000099,덕성여자대학교,대학,대학교,서울,사립,836623,74599617,2925406,,78361646,41306777,189.7,2026-08-01T02:42:38.332Z
2020,0000100,동국대학교,대학,대학교,서울,사립,8083558,88822475,27220460,244259,124370751,214686986,57.9,2026-08-01T02:42:38.332Z
2020,0000102,동덕여자대학교,대학,대학교,서울,사립,1736507,223671864,1159517,,226567888,52311935,433.1,2026-08-01T02:42:38.332Z
2020,0000235,동명대학교,대학,대학교,부산,사립,3836555,27143248,5498987,46972,36525761,52533683,69.5,2026-08-01T02:42:38.332Z
2020,0000103,동서대학교,대학,대학교,부산,사립,6820499,32854534,752592,,40427626,67662503,59.7,2026-08-01T02:42:38.332Z
2020,0000104,동신대학교,대학,대학교,전남,사립,3041501,17664941,3708343,2097591,26512376,43864480,60.4,2026-08-01T02:42:38.332Z
2020,0000105,동아대학교,대학,대학교,부산,사립,6813366,53901507,11678473,5100000,77493346,138086062,56.1,2026-08-01T02:42:38.332Z
2020,0000106,동양대학교,대학,대학교,경북,사립,-7615436,,897412,,-6718023,26398334,-25.4,2026-08-01T02:42:38.332Z
2020,0000107,동의대학교,대학,대학교,부산,사립,2228765,10504141,7699421,503279,20935607,101102346,20.7,2026-08-01T02:42:38.332Z
2020,0000108,루터대학교,대학,대학교,경기,사립,219647,155794,108206,,483648,2500677,19.3,2026-08-01T02:42:38.332Z
2020,0000109,명지대학교,대학,대학교,경기,사립,1214629,2262629,12373746,,15851003,130128966,12.2,2026-08-01T02:42:38.332Z
2020,0000112,목원대학교,대학,대학교,대전,사립,1715176,3973606,4370792,,10059573,56116573,17.9,2026-08-01T02:42:38.332Z
2020,0000221,목포가톨릭대학교,대학,대학교,전남,사립,284527,3879324,25959,,4189810,3258564,128.6,2026-08-01T02:42:38.332Z
2020,0000113,배재대학교,대학,대학교,대전,사립,1797869,21506879,3165896,,26470644,57936665,45.7,2026-08-01T02:42:38.332Z
2020,0000178,백석대학교,대학,대학교,충남,사립,1626500,96823237,1060007,4300000,103809744,107357957,96.7,2026-08-01T02:42:38.332Z
2020,0000114,부산가톨릭대학교,대학,대학교,부산,사립,2472205,25588138,2755806,,30816149,26170762,117.8,2026-08-01T02:42:38.332Z
