year,cohort,school_rep_code,school_rep_name,region,estb,school_division,edu_carryover,edu_endowment,industry_carryover,industry_endowment,total_funds,tuition_revenue,fund_secure_rate,campus_count,has_alimi,updated_at
2020,university,0000513,가톨릭관동대학교,강원,사립,대학,2089887.5199999996,8438995.021,1696460.2109999997,0,12225342.751999998,58587742.01,20.9,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000041,경동대학교,강원,사립,대학,15632538.700000003,13911400.47,375213.595,0,29919152.765,58162860.1,51.4,4,Y,2026-08-15T06:00:43.635Z
2020,university,0000086,상지대학교,강원,사립,대학,-4968291.359999999,5350031.054,2570725.615,0,2952465.3090000004,55415339.59,5.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000147,한라대학교,강원,사립,대학,1005917.9869999997,39000,591527.6130000001,0,1636445.5999999999,22979957.77,7.1,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000148,한림대학교,강원,사립,대학,8842157.469999999,46578783.83,13207292.780000001,0,68628234.08,62686741.71,109.5,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000044,가천대학교,경기,사립,대학,24578401.550000004,72701341.88,14671159.419999998,0,111950902.85000001,168762137.7,66.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000034,가톨릭대학교,경기,사립,대학,5613378.780000001,119564618.9,25196573.820000004,910492.4,151285063.9,82770520.83,182.8,3,Y,2026-08-15T06:00:43.635Z
2020,university,0000036,강남대학교,경기,사립,대학,2043166.789999999,6595614.326,3738772.8,0,12377553.916000001,52505535.16,23.6,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000039,경기대학교,경기,사립,대학,13253765.46,46756544.46,7216834.654,3003513.948,70230658.522,119491132,58.8,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000060,단국대학교,경기,사립,대학,6959991.879999995,26336471.638,17869653.41,62350,51228466.927999996,221932276.5,23.1,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000068,대진대학교,경기,사립,대학,3919471.8500000015,2702226.675,1012710.9269999999,0,7634409.452000001,56468028.61,13.5,1,Y,2026-08-15T06:00:43.635Z
