year,school_code_std,school_name,corp_name,school_division,region,estb,school_status,land_appraised,land_net_income,building_appraised,building_net_income,securities_appraised,securities_net_income,deposit_appraised,deposit_net_income,other_appraised,other_net_income,collateral_deduction,total_appraised,total_net_income,uploaded_at
2025,0000579,ICT폴리텍대학,학교법인 ICT폴리텍대학,전문대학,경기,사립,기존,0,0,0,0,0,0,3420066,112952,0,0,0,3420066,112952,2026-08-06T23:37:18.005Z
2025,0002748,가야대학교(김해),대구학원,대학,경남,사립,기존,21247335,8000,3299875,360181,0,0,600056,22240,0,0,0,25147266,390421,2026-08-06T23:37:18.005Z
2025,0000063,가천대학교,가천학원,대학,경기,사립,기존,33203764,0,531785,0,0,0,32900977,140000,0,0,0,66636526,140000,2026-08-06T23:37:18.005Z
2025,0000072,가톨릭관동대학교,인천가톨릭학원,대학,강원,사립,기존,49177118,44941,82988863,5673878,0,0,0,0,0,0,54517400,77648581,5718819,2026-08-06T23:37:18.005Z
2025,0000215,가톨릭꽃동네대학교,꽃동네현도학원,대학,충북,사립,기존,33682922,0,3282319,1500000,0,0,10020493,402256,0,0,0,46985734,1902256,2026-08-06T23:37:18.005Z
2025,0000046,가톨릭대학교,가톨릭학원,대학,경기,사립,기존,84521637,5455,8107531,2805882,0,0,60026785,2116587,0,0,0,152655953,4927924,2026-08-06T23:37:18.005Z
2025,0000410,가톨릭상지대학교,상지학원(전문),전문대학,경북,사립,기존,0,0,0,0,0,0,1765000,74880,0,0,0,1765000,74880,2026-08-06T23:37:18.005Z
2025,0000050,감리교신학대학교,감리교신학원,대학,서울,사립,기존,33235272,0,8261264,711000,0,0,0,0,0,0,0,41496536,711000,2026-08-06T23:37:18.005Z
2025,0000051,강남대학교,강남학원,대학,경기,사립,기존,31441061,0,11614270,723000,21106160,0,4763622,115441,0,0,8052090,60873023,838441,2026-08-06T23:37:18.005Z
2025,0000433,강동대학교,숭희학원,전문대학,충북,사립,기존,60186,0,0,0,0,0,773993,26864,0,0,0,834179,26864,2026-08-06T23:37:18.005Z
2025,0000514,강릉영동대학교,현송학원,전문대학,강원,사립,기존,148989,0,0,0,0,0,0,0,0,0,0,148989,0,2026-08-06T23:37:18.005Z
