year,cohort,school_rep_code,school_rep_name,region,estb,school_division,appraised_gross,collateral_deduction,appraised_net,income_total,tuition_revenue,secure_rate,revenue_rate,campus_count,has_alimi,updated_at
2021,university,0000513,가톨릭관동대학교,강원,사립,대학,101912994,26544519,75368475,1293617,58587742.01,128.6,1.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000041,경동대학교,강원,사립,대학,97869755,3902800,93966955,3144189,58162860.1,161.6,3.2,4,Y,2026-08-15T07:41:06.072Z
2021,university,0000086,상지대학교,강원,사립,대학,16599020,1530000,15069020,281342,55415339.59,27.2,1.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000147,한라대학교,강원,사립,대학,4643178,0,4643178,0,22979957.77,20.2,0,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000148,한림대학교,강원,사립,대학,749774905,0,749774905,79228064,62686741.71,1196.1,10.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000044,가천대학교,경기,사립,대학,58919435,0,58919435,40000,168762137.7,34.9,0.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000034,가톨릭대학교,경기,사립,대학,101350913,0,101350913,2473058,82770520.83,122.4,2.4,3,Y,2026-08-15T07:41:06.072Z
2021,university,0000036,강남대학교,경기,사립,대학,57805748,11164480,46641268,1477365,52505535.16,88.8,2.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000039,경기대학교,경기,사립,대학,13713429,0,13713429,30000,119491132,11.5,0.2,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000060,단국대학교,경기,사립,대학,423214498,0,423214498,1774995,221932276.5,190.7,0.4,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000068,대진대학교,경기,사립,대학,35816255,0,35816255,386624,56468028.61,63.4,1.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000078,루터대학교,경기,사립,대학,13866886,0,13866886,2795,2500677.2,554.5,0,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000079,명지대학교,경기,사립,대학,130435243,2828692,127606551,0,130128966.2,98.1,0,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000090,서울신학대학교,경기,사립,대학,8138985,0,8138985,59679,19630027.29,41.5,0.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000092,서울장신대학교,경기,사립,대학,19026972,0,19026972,60079,5897008,322.7,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000095,성결대학교,경기,사립,대학,5378252,0,5378252,53000,38666495.45,13.9,1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000101,수원가톨릭대학교,경기,사립,대학,1085973,0,1085973,0,982570.751,110.5,0,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000102,수원대학교,경기,사립,대학,24055144,0,24055144,65546,72285549.01,33.3,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000178,신경대학교,경기,사립,대학,7757308,0,7757308,43608,3869698.05,200.5,0.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000509,신한대학교,경기,사립,대학,73019793,5011692,68008101,92682,57791757.95,117.7,0.1,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000558,아신대학교,경기,사립,대학,1524739,0,1524739,350,7304141,20.9,0,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000108,아주대학교,경기,사립,대학,133685246,639097,133046149,6790683,121505889.5,109.5,5.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000109,안양대학교,경기,사립,대학,7481791,0,7481791,120000,38285129.34,19.5,1.6,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000115,용인대학교,경기,사립,대학,28994360,17206027,11788333,8722,51595853,22.8,0,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000130,중앙승가대학교,경기,사립,대학,39622829,0,39622829,55539,729657.73,5430.3,0.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000139,차의과학대학교,경기,사립,대학,82158532,2037000,80121532,1200000,28583865.94,280.3,1.5,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000136,칼빈대학교,경기,사립,대학,1921470,300000,1621470,7336,7057672,23,0.4,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000138,평택대학교,경기,사립,대학,66384602,0,66384602,611000,30298819.27,219.1,0.9,1,Y,2026-08-15T07:41:06.072Z
