year,school_kind,estb,region,status,school_code_std,school_name,total_enrolled,special_city_count,special_city_ratio,small_city_etc_count,small_city_etc_ratio,metro_count,metro_ratio,wide_city_count,wide_city_ratio,small_city_count,small_city_ratio,town_special_other_count,town_special_other_ratio,uploaded_at
2026,대학교,사립,경남,기존,0002748,가야대학교(김해),430,163,37.9,267,62.1,13,3.02,150,34.88,173,40.23,94,21.86,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000063,가천대학교,5317,1861,35,3456,65,1355,25.48,506,9.52,2247,42.26,1209,22.74,2026-08-05T22:04:39.152Z
2026,대학교,사립,강원,기존,0000072,가톨릭관동대학교,1812,480,26.5,1332,73.5,292,16.11,188,10.38,901,49.72,431,23.79,2026-08-05T22:04:39.152Z
2026,대학교,사립,충북,기존,0000215,가톨릭꽃동네대학교,122,38,31.1,84,68.9,25,20.49,13,10.66,66,54.1,18,14.76,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000046,가톨릭대학교,1903,819,43,1084,57,515,27.06,304,15.97,773,40.62,311,16.35,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000048,가톨릭대학교_제2캠퍼스,178,94,52.8,84,47.2,68,38.2,26,14.61,69,38.76,15,8.43,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000049,가톨릭대학교_제3캠퍼스,52,34,65.4,18,34.6,29,55.77,5,9.62,13,25,5,9.62,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000050,감리교신학대학교,168,87,51.8,81,48.2,60,35.71,27,16.07,63,37.5,18,10.72,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000051,강남대학교,1600,485,30.3,1115,69.7,397,24.81,88,5.5,1001,62.56,114,7.14,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000079,강서대학교,360,147,40.8,213,59.2,113,31.39,34,9.44,125,34.72,88,24.44,2026-08-05T22:04:39.152Z
2026,대학교,국립,강원,기존,0000003,강원대학교,3471,803,23.1,2668,76.9,583,16.8,220,6.34,1755,50.56,913,26.31,2026-08-05T22:04:39.152Z
2026,대학교,국립,강원,기존,0000004,강원대학교_제2캠퍼스,1384,419,30.3,965,69.7,302,21.82,117,8.45,687,49.64,278,20.08,2026-08-05T22:04:39.152Z
2026,대학교,국립,강원,신설,0003363,강원대학교_제3캠퍼스,1393,266,19.1,1127,80.9,139,9.98,127,9.12,771,55.35,356,25.55,2026-08-05T22:04:39.152Z
2026,대학교,국립,강원,신설,0003364,강원대학교_제4캠퍼스,484,98,20.2,386,79.8,67,13.84,31,6.4,292,60.33,94,19.43,2026-08-05T22:04:39.152Z
2026,대학교,사립,충북,기존,0000053,건국대학교(글로컬)_분교,1697,547,32.2,1150,67.8,223,13.14,324,19.09,874,51.5,276,16.26,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000052,건국대학교,3914,1471,37.6,2443,62.4,937,23.94,534,13.64,1472,37.61,971,24.81,2026-08-05T22:04:39.152Z
2026,대학교,사립,충남,기존,0000054,건양대학교,753,239,31.7,514,68.3,55,7.3,184,24.44,292,38.78,222,29.48,2026-08-05T22:04:39.152Z
2026,대학교,사립,대전,기존,0000055,건양대학교_제2캠퍼스,1039,341,32.8,698,67.2,63,6.06,278,26.76,468,45.04,230,22.14,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,대전,기존,0000335,건양사이버대학교,412,85,20.6,327,79.4,16,3.88,69,16.75,254,61.65,73,17.72,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000056,경기대학교,2815,712,25.3,2103,74.7,453,16.09,259,9.2,1699,60.36,404,14.35,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000058,경기대학교_제2캠퍼스,372,136,36.6,236,63.4,103,27.69,33,8.87,167,44.89,69,18.55,2026-08-05T22:04:39.152Z
2026,대학교,사립,경남,기존,0000059,경남대학교,2127,292,13.7,1835,86.3,46,2.16,246,11.57,1316,61.87,519,24.41,2026-08-05T22:04:39.152Z
2026,대학교,사립,강원,기존,0000060,경동대학교,288,0,0,288,100,0,0,0,0,0,0,288,100,2026-08-05T22:04:39.152Z
2026,대학교,사립,강원,기존,0002574,경동대학교_제3캠퍼스,915,234,25.6,681,74.4,162,17.7,72,7.87,520,56.83,161,17.6,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0002744,경동대학교_제4캠퍼스,732,319,43.6,413,56.4,299,40.85,20,2.73,330,45.08,83,11.35,2026-08-05T22:04:39.152Z
2026,대학교,국립,대구,기존,0000005,경북대학교,5679,2860,50.4,2819,49.6,156,2.75,2704,47.61,1736,30.57,1083,19.08,2026-08-05T22:04:39.152Z
2026,대학교,국립,경남,기존,0000007,경상국립대학교,4651,1008,21.7,3643,78.3,152,3.27,856,18.4,2497,53.69,1146,24.64,2026-08-05T22:04:39.152Z
2026,대학교,사립,부산,기존,0000062,경성대학교,3096,1790,57.8,1306,42.2,45,1.45,1745,56.36,706,22.8,600,19.38,2026-08-05T22:04:39.152Z
2026,대학교,사립,경북,기존,0000244,경운대학교,1464,439,30,1025,70,64,4.37,375,25.61,547,37.36,478,32.66,2026-08-05T22:04:39.152Z
2026,교육대학,국립,인천,기존,0000256,경인교육대학교,580,202,34.8,378,65.2,97,16.72,105,18.1,278,47.93,100,17.24,2026-08-05T22:04:39.152Z
2026,대학교,사립,경북,기존,0000064,경일대학교,1822,794,43.6,1028,56.4,84,4.61,710,38.97,464,25.47,564,30.96,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000066,경희대학교,6049,2373,39.2,3676,60.8,1384,22.88,989,16.35,2528,41.79,1148,18.98,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,서울,기존,0000318,경희사이버대학교,1231,545,44.3,686,55.7,347,28.19,198,16.08,456,37.04,230,18.69,2026-08-05T22:04:39.152Z
2026,대학교,사립,대구,기존,0000068,계명대학교,5305,2574,48.5,2731,51.5,97,1.83,2477,46.69,1359,25.62,1372,25.87,2026-08-05T22:04:39.152Z
2026,대학교,사립,세종,기존,0000070,고려대학교(세종)_분교,1968,841,42.7,1127,57.3,451,22.92,390,19.82,825,41.92,302,15.35,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000069,고려대학교,5321,2343,44,2978,56,1511,28.4,832,15.64,1746,32.81,1232,23.15,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,서울,기존,0000328,고려사이버대학교,1282,670,52.3,612,47.7,388,30.27,282,22,437,34.09,175,13.65,2026-08-05T22:04:39.152Z
2026,대학교,사립,부산,기존,0000071,고신대학교,783,420,53.6,363,46.4,23,2.94,397,50.7,232,29.63,131,16.73,2026-08-05T22:04:39.152Z
2026,교육대학,국립,충남,기존,0000251,공주교육대학교,334,103,30.8,231,69.2,40,11.98,63,18.86,155,46.41,76,22.75,2026-08-05T22:04:39.152Z
2026,대학교,사립,광주,기존,0000073,광신대학교,122,62,50.8,60,49.2,4,3.28,58,47.54,19,15.57,41,33.6,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000074,광운대학교,2078,958,46.1,1120,53.9,778,37.44,180,8.66,763,36.72,357,17.18,2026-08-05T22:04:39.152Z
2026,대학교,사립,전남,기존,0000075,광주가톨릭대학교,16,4,25,12,75,0,0,4,25,9,56.25,3,18.75,2026-08-05T22:04:39.152Z
2026,대학교,특별법법인,광주,기존,0000381,광주과학기술원,289,116,40.1,173,59.9,28,9.69,88,30.45,154,53.29,19,6.57,2026-08-05T22:04:39.152Z
2026,교육대학,국립,광주,기존,0000252,광주교육대학교,316,110,34.8,206,65.2,11,3.48,99,31.33,126,39.87,80,25.32,2026-08-05T22:04:39.152Z
2026,대학교,사립,광주,기존,0000231,광주대학교,1430,545,38.1,885,61.9,42,2.94,503,35.17,493,34.48,392,27.42,2026-08-05T22:04:39.152Z
2026,대학교,사립,광주,기존,0000076,광주여자대학교,933,415,44.5,518,55.5,43,4.61,372,39.87,275,29.47,243,26.04,2026-08-05T22:04:39.152Z
2026,대학교,국립,경북,기존,0000021,국립경국대학교,1606,324,20.2,1282,79.8,93,5.79,231,14.38,883,54.98,399,24.85,2026-08-05T22:04:39.152Z
2026,대학교,국립,충남,기존,0000008,국립공주대학교,3189,706,22.1,2483,77.9,131,4.11,575,18.03,1782,55.88,701,21.98,2026-08-05T22:04:39.152Z
2026,대학교,국립,전북,기존,0000009,국립군산대학교,1918,262,13.7,1656,86.3,92,4.8,170,8.86,1220,63.61,436,22.74,2026-08-05T22:04:39.152Z
2026,대학교,국립,경북,기존,0000010,국립금오공과대학교,1307,483,37,824,63,56,4.28,427,32.67,532,40.7,292,22.34,2026-08-05T22:04:39.152Z
2026,대학교,국립,전남,기존,0000011,국립목포대학교,1814,622,34.3,1192,65.7,53,2.92,569,31.37,755,41.62,437,24.09,2026-08-05T22:04:39.152Z
2026,대학교,국립,전남,기존,0000012,국립목포해양대학교,758,267,35.2,491,64.8,65,8.58,202,26.65,333,43.93,158,20.84,2026-08-05T22:04:39.152Z
2026,대학교,국립,부산,기존,0000013,국립부경대학교,3710,1936,52.2,1774,47.8,21,0.57,1915,51.62,1139,30.7,635,17.11,2026-08-05T22:04:39.152Z
2026,대학교,국립,전남,기존,0000020,국립순천대학교,1700,239,14.1,1461,85.9,32,1.88,207,12.18,999,58.76,462,27.18,2026-08-05T22:04:39.152Z
2026,대학교,국립,경남,기존,0003297,국립창원대학교(거창캠퍼스)_제2캠퍼스,359,49,13.6,310,86.4,10,2.79,39,10.86,114,31.75,196,54.59,2026-08-05T22:04:39.152Z
2026,대학교,국립,경남,신설,0003298,국립창원대학교(남해캠퍼스)_제3캠퍼스,377,79,21,298,79,11,2.92,68,18.04,143,37.93,155,41.12,2026-08-05T22:04:39.152Z
2026,대학교,국립,경남,기존,0000028,국립창원대학교,1928,333,17.3,1595,82.7,39,2.02,294,15.25,1197,62.09,398,20.64,2026-08-05T22:04:39.152Z
2026,대학교,국립,충북,기존,0000034,국립한국교통대학교,2165,487,22.5,1678,77.5,196,9.05,291,13.44,1268,58.57,410,18.94,2026-08-05T22:04:39.152Z
2026,대학교,국립,부산,기존,0000033,국립한국해양대학교,1550,824,53.2,726,46.8,75,4.84,749,48.32,444,28.65,282,18.2,2026-08-05T22:04:39.152Z
2026,대학교,국립,대전,기존,0000039,국립한밭대학교,2142,1084,50.6,1058,49.4,27,1.26,1057,49.35,717,33.47,341,15.92,2026-08-05T22:04:39.152Z
