year,region_code,region,region_full,sido,geo_level,women_20_39,senior_65_plus,extinction_index,extinction_grade,uploaded_at
2025,1100000000,서울,서울특별시,서울,sido,1399752,1900102,73.67,1,2026-08-13T23:12:29.517Z
2025,1111000000,종로구,서울특별시 종로구,서울,sigungu,20813,30664,67.87,1,2026-08-13T23:12:29.517Z
2025,1114000000,중구,서울특별시 중구,서울,sigungu,19389,27157,71.4,1,2026-08-13T23:12:29.517Z
2025,1117000000,용산구,서울특별시 용산구,서울,sigungu,33855,39913,84.82,1,2026-08-13T23:12:29.517Z
2025,1120000000,성동구,서울특별시 성동구,서울,sigungu,44466,53232,83.53,1,2026-08-13T23:12:29.517Z
2025,1121500000,광진구,서울특별시 광진구,서울,sigungu,58373,62317,93.67,1,2026-08-13T23:12:29.517Z
2025,1123000000,동대문구,서울특별시 동대문구,서울,sigungu,55819,72487,77.01,1,2026-08-13T23:12:29.517Z
2025,1126000000,중랑구,서울특별시 중랑구,서울,sigungu,52628,87928,59.85,2,2026-08-13T23:12:29.517Z
2025,1129000000,성북구,서울특별시 성북구,서울,sigungu,61951,87297,70.97,1,2026-08-13T23:12:29.517Z
2025,1130500000,강북구,서울특별시 강북구,서울,sigungu,34722,74210,46.79,2,2026-08-13T23:12:29.517Z
2025,1132000000,도봉구,서울특별시 도봉구,서울,sigungu,35135,78244,44.9,2,2026-08-13T23:12:29.517Z
2025,1135000000,노원구,서울특별시 노원구,서울,sigungu,60697,104661,57.99,2,2026-08-13T23:12:29.517Z
2025,1138000000,은평구,서울특별시 은평구,서울,sigungu,64146,102219,62.75,1,2026-08-13T23:12:29.517Z
2025,1141000000,서대문구,서울특별시 서대문구,서울,sigungu,47360,61941,76.46,1,2026-08-13T23:12:29.517Z
2025,1144000000,마포구,서울특별시 마포구,서울,sigungu,65449,61725,106.03,0,2026-08-13T23:12:29.517Z
2025,1147000000,양천구,서울특별시 양천구,서울,sigungu,49425,84351,58.59,2,2026-08-13T23:12:29.517Z
2025,1150000000,강서구,서울특별시 강서구,서울,sigungu,88075,112966,77.97,1,2026-08-13T23:12:29.517Z
2025,1153000000,구로구,서울특별시 구로구,서울,sigungu,54131,85949,62.98,1,2026-08-13T23:12:29.517Z
2025,1154500000,금천구,서울특별시 금천구,서울,sigungu,34474,49561,69.56,1,2026-08-13T23:12:29.517Z
