year,region_code,region,region_full,admission_weight,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,uploaded_at
2025,0000000000,전국,전국,1.15,252212,243765,235297,255233,267994,280450,310444,334444,365325,414059,445457,441512,442131,490313,476544,473708,447924,468145,494672,447937,434325,2026-08-14T00:04:44.056Z
2025,1100000000,서울,서울특별시,1.42,43645,39703,37268,39955,42056,43053,47447,50486,54961,62088,66913,66610,67029,74629,71635,72718,69117,73390,78039,77791,79530,2026-08-14T00:04:44.056Z
2025,2600000000,부산,부산광역시,1.15,13847,13459,13165,14491,15232,15781,17738,19697,21793,24694,26812,26361,25924,28595,27509,26910,24507,25774,27256,25169,25259,2026-08-14T00:04:44.056Z
2025,2700000000,대구,대구광역시,1.22,10781,10674,10089,11127,11857,12507,14614,15657,17292,19716,20761,20678,20447,22726,21876,21594,20064,21303,22847,20610,20607,2026-08-14T00:04:44.056Z
2025,2800000000,인천,인천광역시,1.04,16840,16519,15612,16786,17220,18113,19850,20940,22230,25163,27059,26511,26567,29174,28792,28158,26658,27387,29405,26257,25380,2026-08-14T00:04:44.056Z
2025,2900000000,광주,광주광역시,1.12,6487,6358,6484,7294,7996,8249,9438,10204,11040,12606,13386,13555,13645,15176,14673,14903,14094,14645,15822,14123,13792,2026-08-14T00:04:44.056Z
2025,3000000000,대전,대전광역시,1.12,7714,7452,7310,7743,7896,7977,8814,9458,10616,11796,12804,12666,12873,13928,13882,13690,12982,13731,14787,14404,14189,2026-08-14T00:04:44.056Z
2025,3100000000,울산,울산광역시,0.97,5508,5276,5010,5417,6035,6394,7157,7811,8726,10136,10875,10868,10747,11860,11276,11236,10600,11005,11663,9564,8926,2026-08-14T00:04:44.056Z
2025,3600000000,세종,세종특별자치시,1.02,2915,2897,2873,3318,3664,3735,4191,4597,4991,5499,5893,5622,5537,6020,5710,5599,5193,5285,5058,4226,3695,2026-08-14T00:04:44.056Z
2025,4100000000,경기,경기도,1.2,76695,74954,72238,79104,81420,84563,92752,99227,107347,121665,130311,128562,127214,141042,136585,135584,127937,133655,139691,125920,118667,2026-08-14T00:04:44.056Z
2025,5100000000,강원,강원특별자치도,0.96,6654,6774,6698,7291,7461,7945,8487,8868,9649,10846,11599,11419,11626,13065,12912,12937,12586,12881,14041,12285,12389,2026-08-14T00:04:44.056Z
2025,4300000000,충북,충청북도,0.98,8226,7790,7762,7833,8490,8778,9448,10679,11426,12824,13528,13377,13689,15107,14834,14906,14018,14506,15485,13792,13483,2026-08-14T00:04:44.056Z
2025,4400000000,충남,충청남도,0.97,10141,10047,9764,10702,11453,12417,13511,14483,16044,17918,19440,19097,19550,21657,21051,20964,19848,20627,21459,18980,18257,2026-08-14T00:04:44.056Z
2025,5200000000,전북,전북특별자치도,1.05,6981,6878,6773,7269,7788,8429,9301,10237,11487,12915,14338,14562,14927,16584,16644,16678,15901,16748,17743,15534,15316,2026-08-14T00:04:44.056Z
2025,4600000000,전남,전라남도,0.95,8539,8177,7681,8120,8513,9120,10033,10551,11577,13297,14340,14242,14809,16657,16469,16203,15414,15933,17037,14618,13678,2026-08-14T00:04:44.056Z
