year,school_code_std,school_name,school_division,school_kind,region,estb,tuition_revenue,school_operating_revenue,industry_operating_revenue,total_operating_revenue,tuition_dependency_rate,uploaded_at
2020,0002748,가야대학교(김해),대학,대학교,경남,사립,14881197.78,22936529.68,1044515.019,23981044.7,62.1,2026-08-01T04:06:42.106Z
2020,0000063,가천대학교,대학,대학교,경기,사립,168762137.7,252885872.5,78486685.09,331372557.6,50.9,2026-08-01T04:06:42.106Z
2020,0000072,가톨릭관동대학교,대학,대학교,강원,사립,58587742.01,92456854.49,16878255.85,109335110.3,53.6,2026-08-01T04:06:42.106Z
2020,0000215,가톨릭꽃동네대학교,대학,대학교,충북,사립,3524693.59,8616001.993,132255.095,8748257.088,40.3,2026-08-01T04:06:42.106Z
2020,0000046,가톨릭대학교,대학,대학교,경기,사립,82770520.83,202464183.6,101890187.8,304354371.4,27.2,2026-08-01T04:06:42.106Z
2020,0000050,감리교신학대학교,대학,대학교,서울,사립,9013573.55,13047040.42,157673.904,13204714.32,68.3,2026-08-01T04:06:42.106Z
2020,0000051,강남대학교,대학,대학교,경기,사립,52505535.16,75146480.39,4582311.03,79728791.42,65.9,2026-08-01T04:06:42.106Z
2020,0000052,건국대학교,대학,대학교,서울,사립,232698112.1,347219900.2,105302905,452522805.1,51.4,2026-08-01T04:06:42.106Z
2020,0000054,건양대학교,대학,대학교,충남,사립,51893413.54,93294944.56,16042548.42,109337493,47.5,2026-08-01T04:06:42.106Z
2020,0000056,경기대학교,대학,대학교,경기,사립,119491132,178224547.3,24421246.36,202645793.6,59,2026-08-01T04:06:42.106Z
2020,0000059,경남대학교,대학,대학교,경남,사립,77583649.5,117974152.1,25980037.63,143954189.7,53.9,2026-08-01T04:06:42.106Z
2020,0000060,경동대학교,대학,대학교,강원,사립,58162860.1,81360792.39,6379487.776,87740280.16,66.3,2026-08-01T04:06:42.106Z
2020,0000062,경성대학교,대학,대학교,부산,사립,82234747.23,124448118.3,13889779.96,138337898.3,59.4,2026-08-01T04:06:42.106Z
2020,0000244,경운대학교,대학,대학교,경북,사립,33217838.17,53746267.18,6843166.383,60589433.56,54.8,2026-08-01T04:06:42.106Z
2020,0000064,경일대학교,대학,대학교,경북,사립,46013829.44,71265882.12,15946619.45,87212501.57,52.8,2026-08-01T04:06:42.106Z
2020,0000065,신경주대학교,대학,대학교,경북,사립,6976203.03,8742190.556,161471.995,8903662.551,78.4,2026-08-01T04:06:42.106Z
2020,0000066,경희대학교,대학,대학교,서울,사립,289984318.4,437337931.8,150318782.2,587656714,49.3,2026-08-01T04:06:42.106Z
2020,0000068,계명대학교,대학,대학교,대구,사립,163092513.7,276795706.5,43515661.85,320311368.4,50.9,2026-08-01T04:06:42.106Z
2020,0000069,고려대학교,대학,대학교,서울,사립,352941598.1,605262184.5,411855556,1017117740,34.7,2026-08-01T04:06:42.106Z
2020,0000071,고신대학교,대학,대학교,부산,사립,29690495.26,63697576.88,4537219.819,68234796.7,43.5,2026-08-01T04:06:42.106Z
2020,0000073,광신대학교,대학,대학교,광주,사립,5515697.34,9610510.817,0,0,0,2026-08-01T04:06:42.106Z
2020,0000074,광운대학교,대학,대학교,서울,사립,76370613.3,108165421.4,35237457.06,143402878.5,53.3,2026-08-01T04:06:42.106Z
2020,0000075,광주가톨릭대학교,대학,대학교,전남,사립,0,1988325.935,0,0,0,2026-08-01T04:06:42.106Z
2020,0000231,광주대학교,대학,대학교,광주,사립,44202213.85,72051895.54,10667530.5,82719426.04,53.4,2026-08-01T04:06:42.106Z
2020,0000076,광주여자대학교,대학,대학교,광주,사립,24667440.93,42256340.9,1180433.441,43436774.34,56.8,2026-08-01T04:06:42.106Z
2020,0000078,국민대학교,대학,대학교,서울,사립,151941941.7,216508266.5,69910149.29,286418415.8,53,2026-08-01T04:06:42.106Z
2020,0000080,극동대학교,대학,대학교,충북,사립,26690534.82,37115828.56,1688767.72,38804596.28,68.8,2026-08-01T04:06:42.106Z
2020,0000224,금강대학교,대학,대학교,충남,사립,2417714.433,8907283.721,279844.648,9187128.369,26.3,2026-08-01T04:06:42.106Z
2020,0000241,김천대학교,대학,대학교,경북,사립,20362791.77,27851571.7,1958942.7,29810514.4,68.3,2026-08-01T04:06:42.106Z
2020,0000081,나사렛대학교,대학,대학교,충남,사립,37338008.71,62370357.65,2379916.561,64750274.21,57.7,2026-08-01T04:06:42.106Z
2020,0000216,남부대학교,대학,대학교,광주,사립,21387951.33,35390480.41,1772354.93,37162835.34,57.6,2026-08-01T04:06:42.106Z
2020,0000245,남서울대학교,대학,대학교,충남,사립,73962775.43,104991727.5,14354367.16,119346094.7,62,2026-08-01T04:06:42.106Z
2020,0000082,단국대학교,대학,대학교,경기,사립,221932276.5,314349294.8,77638797.28,391988092.1,56.6,2026-08-01T04:06:42.106Z
2020,0000088,대구가톨릭대학교,대학,대학교,경북,사립,92699560.34,146742176.5,29625797.87,176367974.4,52.6,2026-08-01T04:06:42.106Z
2020,0000084,대구대학교,대학,대학교,경북,사립,124908128.4,201587459.1,37037003.4,238624462.6,52.3,2026-08-01T04:06:42.106Z
2020,0000087,대구예술대학교,대학,대학교,경북,사립,7638563.21,10799828.19,91231.28,10891059.47,70.1,2026-08-01T04:06:42.106Z
2020,0000061,대구한의대학교,대학,대학교,경북,사립,49198346.28,77648899.11,14059435.91,91708335.02,53.6,2026-08-01T04:06:42.106Z
2020,0000093,대신대학교,대학,대학교,경북,사립,3634566.22,6282920.097,112405.66,6395325.757,56.8,2026-08-01T04:06:42.106Z
2020,0000094,대전가톨릭대학교,대학,대학교,세종,사립,444970,3323061.651,0,0,0,2026-08-01T04:06:42.106Z
2020,0000095,대전대학교,대학,대학교,대전,사립,68080580.39,102633321.9,39586878.03,142220199.9,47.9,2026-08-01T04:06:42.106Z
2020,0000238,대전신학대학교,대학,대학교,대전,사립,1025169.167,2133669.037,0,0,0,2026-08-01T04:06:42.106Z
2020,0000097,대진대학교,대학,대학교,경기,사립,56468028.61,93690301.1,7857063.727,101547364.8,55.6,2026-08-01T04:06:42.106Z
