year,cohort,school_rep_code,school_rep_name,region,estb,school_division,tuition_revenue,edu_operating_revenue,industry_operating_revenue,total_operating_revenue,tuition_dependency_rate,campus_count,has_alimi,updated_at
2020,university,0000513,가톨릭관동대학교,강원,사립,대학,58587742.01,92456854.49,16878255.85,109335110.34,53.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000041,경동대학교,강원,사립,대학,58162860.1,81360792.39,6379487.776,87740280.166,66.3,4,Y,2026-08-15T06:33:03.497Z
2020,university,0000086,상지대학교,강원,사립,대학,55415339.59,76116130.94,10384411.44,86500542.38,64.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000147,한라대학교,강원,사립,대학,22979957.77,37938066.98,4175189.178,42113256.158,54.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000148,한림대학교,강원,사립,대학,62686741.71,149173521.3,56983252.23,206156773.53,30.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000044,가천대학교,경기,사립,대학,168762137.7,252885872.5,78486685.09,331372557.59000003,50.9,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000034,가톨릭대학교,경기,사립,대학,82770520.83,202464183.6,101890187.8,304354371.4,27.2,3,Y,2026-08-15T06:33:03.497Z
2020,university,0000036,강남대학교,경기,사립,대학,52505535.16,75146480.39,4582311.03,79728791.42,65.9,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000039,경기대학교,경기,사립,대학,119491132,178224547.3,24421246.36,202645793.66000003,59,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000060,단국대학교,경기,사립,대학,221932276.5,314349294.8,77638797.28,391988092.08000004,56.6,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000068,대진대학교,경기,사립,대학,56468028.61,93690301.1,7857063.727,101547364.82699999,55.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000078,루터대학교,경기,사립,대학,2500677.2,5923622.572,1991.185,5925613.756999999,42.2,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000079,명지대학교,경기,사립,대학,130128966.2,182660731,41549589.33,224210320.32999998,58,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000090,서울신학대학교,경기,사립,대학,19630027.29,31998751.57,816743.02,32815494.59,59.8,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000092,서울장신대학교,경기,사립,대학,5897008,8589673.683,37026.463,8626700.146,68.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000095,성결대학교,경기,사립,대학,38666495.45,57602820.03,10724814.43,68327634.46000001,56.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000101,수원가톨릭대학교,경기,사립,대학,982570.751,9262462.949,0,9262462.949,10.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000102,수원대학교,경기,사립,대학,72285549.01,97599737.84,19625421.97,117225159.81,61.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000178,신경대학교,경기,사립,대학,3869698.05,4355388.466,63633.547,4419022.013,87.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000509,신한대학교,경기,사립,대학,57791757.95,80617049.16,0,80617049.16,71.7,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000558,아신대학교,경기,사립,대학,7304141,11873476.53,81358.234,11954834.763999999,61.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000108,아주대학교,경기,사립,대학,121505889.5,234627671.6,115718807.1,350346478.7,34.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000109,안양대학교,경기,사립,대학,38285129.34,54544387.97,10320446.05,64864834.019999996,59,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000115,용인대학교,경기,사립,대학,51595853,71792833.03,2305147.687,74097980.71700001,69.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000130,중앙승가대학교,경기,사립,대학,729657.73,4507988.084,104422.988,4612411.072,15.8,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000139,차의과학대학교,경기,사립,대학,28583865.94,89170035.1,21135880.69,110305915.78999999,25.9,1,Y,2026-08-15T06:33:03.497Z
