year,school_code_std,school_name,school_division,school_kind,estb,status,region,zone,metro,enrolled_total,scale,campus_count
2026,0000032,가야대학교,대학,대학교,사립,기존,경남,동남권,비수도권,1621,소규모,1
2026,0000044,가천대학교,대학,대학교,사립,기존,경기,수도권,수도권,23776,대규모,1
2026,0000513,가톨릭관동대학교,대학,대학교,사립,기존,강원,강원권,비수도권,5869,중규모,1
2026,0000557,가톨릭꽃동네대학교,대학,대학교,사립,기존,충북,충청권,비수도권,449,소규모,1
2026,0000034,가톨릭대학교,대학,대학교,사립,기존,경기,수도권,수도권,9727,중규모,3
2026,0000249,가톨릭상지대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,1740,소규모,1
2026,0000035,감리교신학대학교,대학,대학교,사립,기존,서울,수도권,수도권,613,소규모,1
2026,0000036,강남대학교,대학,대학교,사립,기존,경기,수도권,수도권,6404,중규모,1
2026,0000271,강동대학교,전문대학,전문대학,사립,기존,충북,충청권,비수도권,3723,중규모,1
2026,0000347,강릉영동대학교,전문대학,전문대학,사립,기존,강원,강원권,비수도권,2404,중규모,1
2026,0000565,강서대학교,대학,대학교,사립,기존,서울,수도권,수도권,1886,소규모,1
2026,0000002,강원대학교,대학,대학교,국립,기존,강원,강원권,비수도권,22015,대규모,4
2026,0000531,강원도립대학교,전문대학,전문대학,공립,기존,강원,강원권,비수도권,581,소규모,1
2026,0000251,거제대학교,전문대학,전문대학,사립,기존,경남,동남권,비수도권,1074,소규모,1
2026,0000037,건국대학교,대학,대학교,사립,기존,서울,수도권,수도권,24326,대규모,2
2026,0000038,건양대학교,대학,대학교,사립,기존,충남,충청권,비수도권,6557,중규모,2
2026,0000387,경기과학기술대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,3992,중규모,1
2026,0000039,경기대학교,대학,대학교,사립,기존,경기,수도권,수도권,13584,대규모,2
2026,0000040,경남대학교,대학,대학교,사립,기존,경남,동남권,비수도권,8143,중규모,1
2026,0000253,경남정보대학교,전문대학,전문대학,사립,기존,부산,동남권,비수도권,5910,대규모,1
2026,0000041,경동대학교,대학,대학교,사립,기존,강원,강원권,비수도권,7450,중규모,3
2026,0000255,경민대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,6507,대규모,1
2026,0000259,경복대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,6408,대규모,1
2026,0000293,경북과학대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,2277,중규모,1
2026,0000003,경북대학교,대학,대학교,국립,기존,대구,대경권,비수도권,23145,대규모,1
2026,0000523,경북보건대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,1280,소규모,1
2026,0000258,경북전문대학교,전문대학,전문대학,사립,기존,경북,대경권,비수도권,2668,중규모,1
2026,0000556,경상국립대학교,대학,대학교,국립,기존,경남,동남권,비수도권,17450,대규모,1
2026,0000043,경성대학교,대학,대학교,사립,기존,부산,동남권,비수도권,12689,대규모,1
2026,0000188,경운대학교,대학,대학교,사립,기존,경북,대경권,비수도권,5180,중규모,1
2026,0000200,경인교육대학교,대학,교육대학,국립,기존,인천,수도권,수도권,2256,소규모,1
2026,0000261,경인여자대학교,전문대학,전문대학,사립,기존,인천,수도권,수도권,3977,중규모,1
2026,0000045,경일대학교,대학,대학교,사립,기존,경북,대경권,비수도권,7047,중규모,1
2026,0000047,경희대학교,대학,대학교,사립,기존,서울,수도권,수도권,25921,대규모,1
2026,0000048,계명대학교,대학,대학교,사립,기존,대구,대경권,비수도권,21245,대규모,1
2026,0000263,계명문화대학교,전문대학,전문대학,사립,기존,대구,대경권,비수도권,4581,대규모,1
2026,0000264,계원예술대학교,전문대학,전문대학,사립,기존,경기,수도권,수도권,2647,중규모,1
2026,0000049,고려대학교,대학,대학교,사립,기존,서울,수도권,수도권,29709,대규모,2
2026,0000050,고신대학교,대학,대학교,사립,기존,부산,동남권,비수도권,2840,소규모,1
2026,0000195,공주교육대학교,대학,교육대학,국립,기존,충남,충청권,비수도권,1328,소규모,1
2026,0000052,광신대학교,대학,대학교,사립,기존,광주,서남권,비수도권,454,소규모,1
2026,0000266,광양보건대학교,전문대학,전문대학,사립,기존,전남,서남권,비수도권,116,소규모,1
