school_code_std,road_address,lot_address,lng,lat,sido,sigungu,geocoded_at
0000001,강원특별자치도 강릉시 죽헌길 7 (지변동),강원특별자치도 강릉시 지변동 123,128.8679799445353,37.77220807160427,강원특별자치도,강릉시,2026-08-01T20:12:06.629Z
0000002,강원특별자치도 원주시 흥업면 남원로 150,강원특별자치도 원주시 흥업면 흥업리 7,127.92192830954434,37.30457526234364,강원특별자치도,원주시,2026-08-01T20:12:06.629Z
0000003,강원특별자치도 춘천시 강원대학길 1 (효자동),강원특별자치도 춘천시 효자동 210-1,127.73969115080553,37.86664362691363,강원특별자치도,춘천시,2026-08-01T20:12:06.629Z
0000004,강원특별자치도 삼척시 중앙로 346 (교동),강원특별자치도 삼척시 교동 777,129.1609703952505,37.45455364998775,강원특별자치도,삼척시,2026-08-01T20:12:06.629Z
0000005,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",대구광역시 북구 대현동 25,128.60771577707115,35.88772022408881,대구광역시,북구,2026-08-01T20:12:06.629Z
0000007,경상남도 진주시 진주대로 501 (가좌동),경상남도 진주시 가좌동 879,128.0954225134876,35.153847368166495,경상남도,진주시,2026-08-01T20:12:16.527Z
0000008,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",충청남도 공주시 신관동 182,127.14256658598825,36.47135044003209,충청남도,공주시,2026-08-01T20:12:16.527Z
0000009,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",전북특별자치도 군산시 미룡동 290-2,126.68141359547279,35.948610072213754,전라북도,군산시,2026-08-01T20:12:16.527Z
0000010,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",경상북도 구미시 거의동 468,128.39096267610762,36.14725422946561,경상북도,구미시,2026-08-01T20:12:16.527Z
0000011,"전남광주통합특별시 무안군 청계면 영산로 1666 (도림리, 목포대학교)",전남광주통합특별시 무안군 청계면 도림리 357-1,126.43298245864659,34.905790692311044,전남광주통합특별시,무안군,2026-08-01T20:12:16.527Z
0000012,"전남광주통합특별시 목포시 해양대학로 91 (죽교동, 목포해양대학교)",전남광주통합특별시 목포시 죽교동 571,126.36588781389867,34.790774550009274,전남광주통합특별시,목포시,2026-08-01T20:12:16.527Z
0000013,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",부산광역시 남구 대연동 599-1,129.10461227243076,35.131617065487546,부산광역시,남구,2026-08-01T20:12:16.527Z
