year_text,school_code_std,school_kind,estb,region,status,school_name,cells_json,uploaded_at
2020,0002748,일반,사립,경남,대학,가야대학교,"[""2020"",""0002748"",""가야대학교"",""대구학원"",""사립"",""대학"",""일반"",""경남"",""1074639.995"",""1074639.995"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1027449.506"",""58448.35"",""58448.35"",""0"",""0"",""0"",""969001.156"",""969001.156"",""45238"",""0"",""0"",""0"",""0"",""45238"",""238"",""0"",""45000"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1952.489"",""1952.489"",""1598.247"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""354.242"",""1074639.995"",""1030182.567"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1016746.285"",""58497.073"",""0"",""2000"",""0"",""0"",""0"",""19945.2"",""28268.823"",""1483.05"",""6800"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""958249.212"",""958249.212"",""10517.12"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""10517.12"",""10517.12"",""2580.275"",""2580.275"",""0"",""0"",""2580.275"",""0"",""0"",""338.887"",""338.887"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""338.887"",""0"",""0"",""0"",""44457.428"",""44457.428"",""44457.428""]",2026-08-28T22:19:56.387Z
2020,0000063,일반,사립,경기,대학,가천대학교,"[""2020"",""0000063"",""가천대학교"",""가천학원"",""사립"",""대학"",""일반"",""경기"",""74546766.19"",""74546766.19"",""15597962.51"",""12110633.05"",""7437964.291"",""4672668.763"",""70"",""70"",""587335"",""0"",""0"",""0"",""384485"",""202850"",""0"",""0"",""0"",""2899924.453"",""2899924.453"",""48819703.57"",""38703392.36"",""38468163.54"",""235228.819"",""1689687.926"",""1689687.926"",""8426623.282"",""8426623.282"",""8845891.14"",""1287143.191"",""1226944.586"",""4.491"",""60194.114"",""7558747.949"",""7298921.615"",""84523.309"",""175303.025"",""9780.04"",""0"",""0"",""0"",""0"",""0"",""9780.04"",""0"",""4500"",""5280.04"",""1273428.93"",""1273428.93"",""159289.738"",""0"",""0"",""0"",""0"",""0"",""716.1"",""0"",""0"",""1001298.315"",""112124.777"",""74546766.19"",""73371632.3"",""15431131.67"",""12084611.95"",""5797382.522"",""979110.905"",""0"",""0"",""0"",""2816126.015"",""1566066.116"",""253349.669"",""551814.747"",""120761.977"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""352124.311"",""4267.002"",""347857.309"",""0"",""0"",""2994395.41"",""2994395.41"",""44253391.59"",""35253064.99"",""10572846.14"",""5537076.123"",""0"",""0"",""0"",""9523047.859"",""5505089.309"",""409660.638"",""2932834.918"",""772510"",""0"",""1076072.594"",""329386.087"",""37611"",""335642.2"",""0"",""373433.307"",""7924254.005"",""7924254.005"",""7045405.42"",""2910151.127"",""2082985.621"",""827165.506"",""0"",""4023316.261"",""2090578.054"",""917933.451"",""598430.451"",""190203.313"",""0"",""12651.07"",""0"",""213519.922"",""111938.032"",""3980.32"",""107957.712"",""0"",""0"",""2241832.514"",""2241832.514"",""0"",""1900563.043"",""269728.083"",""0"",""71541.388"",""1319871.102"",""1319871.102"",""0"",""0"",""0"",""0"",""0"",""0"",""1261872.31"",""57998.792"",""3080000"",""3080000"",""3080000"",""1175133.891"",""1175133.891"",""1175133.891""]",2026-08-28T22:19:56.387Z
2020,0000072,일반,사립,강원,대학,가톨릭관동대학교,"[""2020"",""0000072"",""가톨릭관동대학교"",""인천가톨릭학원"",""사립"",""대학"",""일반"",""강원"",""16595801.79"",""16595801.79"",""2773341.318"",""2066199.649"",""852457.927"",""1213741.722"",""274164.024"",""274164.024"",""108090.91"",""0"",""0"",""0"",""91000"",""17090.91"",""12287.364"",""12287.364"",""0"",""312599.371"",""312599.371"",""11864498.21"",""5529086.693"",""5505728.693"",""23358"",""3386779.028"",""3386779.028"",""2948632.492"",""2948632.492"",""1328504.54"",""295467.046"",""215274.542"",""2000"",""78192.504"",""1033037.494"",""809125.494"",""124000"",""99912"",""500"",""0"",""0"",""0"",""0"",""0"",""500"",""500"",""0"",""0"",""628957.719"",""628957.719"",""12590.622"",""1000"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""600000"",""15367.097"",""16595801.79"",""16316191.68"",""2678142.345"",""2029828.899"",""923687.203"",""39077.36"",""0"",""0"",""0"",""330936.993"",""340271.319"",""72111.241"",""260108.421"",""63636.362"",""0"",""265298.019"",""94582.109"",""0"",""0"",""0"",""170715.91"",""69296.371"",""3658.769"",""65637.602"",""0"",""0"",""313719.056"",""313719.056"",""11225290.34"",""5301359.34"",""1629058.403"",""196996"",""0"",""0"",""0"",""1977071.422"",""962931.507"",""145499.706"",""459602.302"",""-69800"",""0"",""3067342.777"",""972315.451"",""741798.241"",""0"",""0"",""1353229.085"",""2856588.224"",""2856588.224"",""852520.684"",""699618.123"",""514430.398"",""185187.725"",""0"",""138476.894"",""99290.275"",""1787.3"",""0"",""50805.389"",""467.5"",""0"",""0"",""-13873.57"",""18723.333"",""0"",""18723.333"",""-4297.666"",""-4297.666"",""703023.388"",""703023.388"",""76826.859"",""487293.001"",""53024.647"",""0"",""85878.881"",""257214.922"",""257214.922"",""0"",""0"",""0"",""0"",""10059.387"",""0"",""0"",""247155.535"",""600000"",""600000"",""600000"",""279610.11"",""279610.11"",""279610.11""]",2026-08-28T22:19:56.387Z
2020,0000046,일반,사립,서울,대학,가톨릭대학교,"[""2020"",""0000046"",""가톨릭대학교"",""가톨릭학원"",""사립"",""대학"",""일반"",""서울"",""91319818.58"",""91319818.58"",""14940756.28"",""12895395.8"",""7364738.006"",""5530657.792"",""73804.859"",""73804.859"",""1923485.62"",""0"",""0"",""0"",""1772665.263"",""150820.357"",""0"",""0"",""0"",""48070"",""48070"",""57845899.21"",""49342474.91"",""49207058.88"",""135416.034"",""1443400.535"",""1443400.535"",""7060023.764"",""7060023.764"",""14553951.28"",""2255441.128"",""2251666.128"",""3775"",""0"",""12298510.15"",""12072309.65"",""58887.5"",""167313"",""198971.999"",""133876.999"",""133876.999"",""0"",""0"",""0"",""65095"",""65095"",""0"",""0"",""3780239.815"",""3780239.815"",""441148.853"",""3160000"",""0"",""0"",""0"",""0"",""99"",""0"",""0"",""0"",""178991.962"",""91319818.58"",""88583747.59"",""14719261.4"",""13784263.07"",""7184703.006"",""147060.2"",""0"",""0"",""0"",""3662328.236"",""1748371.45"",""580796.308"",""451003.871"",""10000"",""0"",""73884.859"",""16930"",""0"",""0"",""0"",""56954.859"",""827913.467"",""41672.032"",""786241.435"",""0"",""0"",""33200"",""33200"",""57268448.5"",""49206562.63"",""16420095.84"",""3596219.149"",""0"",""0"",""0"",""16030680.57"",""8351812.235"",""1668479.368"",""2430367.3"",""708908.172"",""0"",""1596850.256"",""245337.441"",""0"",""1220340"",""83367.375"",""47805.44"",""6465035.609"",""6465035.609"",""8342551.141"",""4407641.472"",""3558643.946"",""848997.526"",""0"",""3667794.693"",""722649.757"",""205983.238"",""0"",""190559.266"",""322.849"",""2296.9"",""0"",""2545982.683"",""235714.976"",""0"",""235714.976"",""31400"",""31400"",""2473952.548"",""2473952.548"",""0"",""1577863.93"",""896088.618"",""0"",""0"",""176040.011"",""176040.011"",""0"",""0"",""0"",""0"",""63804.113"",""0"",""0"",""112235.898"",""5603494"",""5603494"",""5603494"",""2736070.981"",""2736070.981"",""2736070.981""]",2026-08-28T22:19:56.387Z
2020,0000410,일반,사립,경북,전문,가톨릭상지대학교,"[""2020"",""0000410"",""가톨릭상지대학교"",""상지학원(전문)"",""사립"",""전문"",""일반"",""경북"",""5503163.195"",""5503163.195"",""675124.813"",""45959.254"",""45959.254"",""0"",""621199.381"",""621199.381"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""7966.178"",""7966.178"",""4570800"",""0"",""0"",""0"",""4520800"",""4520800"",""50000"",""50000"",""227390.178"",""3870.178"",""3236.362"",""0"",""633.816"",""223520"",""0"",""223520"",""0"",""17337.7"",""0"",""0"",""0"",""0"",""0"",""17337.7"",""0"",""0"",""17337.7"",""12510.504"",""12510.504"",""2393.063"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""6494.362"",""3623.079"",""5503163.195"",""4811182.324"",""609192.284"",""66033.09"",""47577.274"",""0"",""0"",""0"",""0"",""7248.861"",""5019.452"",""4187.503"",""2000"",""0"",""0"",""534738.47"",""181739.4"",""0"",""0"",""0"",""352999.07"",""0"",""0"",""0"",""0"",""0"",""8420.724"",""8420.724"",""2447408.777"",""30000"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""30000"",""0"",""1507966.083"",""290130.51"",""143610.35"",""5402"",""224504.754"",""844318.469"",""909442.694"",""909442.694"",""188183.852"",""0"",""0"",""0"",""0"",""4560.04"",""20"",""4540.04"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""183623.812"",""183623.812"",""1392272.513"",""1392272.513"",""35801.236"",""862835.955"",""481584.432"",""0"",""12050.89"",""39124.898"",""39124.898"",""0"",""0"",""0"",""0"",""0"",""0"",""6494.362"",""32630.536"",""135000"",""135000"",""135000"",""691980.871"",""691980.871"",""691980.871""]",2026-08-28T22:19:56.387Z
2020,0000050,일반,사립,서울,대학,감리교신학대학교,"[""2020"",""0000050"",""감리교신학대학교"",""감리교신학원"",""사립"",""대학"",""일반"",""서울"",""168108.354"",""168108.354"",""2553.347"",""0"",""0"",""0"",""0"",""0"",""2553.347"",""0"",""0"",""0"",""2553.347"",""0"",""0"",""0"",""0"",""0"",""0"",""127911.448"",""127911.448"",""127911.448"",""0"",""0"",""0"",""0"",""0"",""12000"",""0"",""0"",""0"",""0"",""12000"",""12000"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""25643.559"",""25643.559"",""120.553"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""25523.002"",""0.004"",""168108.354"",""168108.354"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""137152.164"",""137152.164"",""130996"",""0"",""0"",""0"",""0"",""0"",""6156.164"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""4033.42"",""4033.42"",""0"",""539"",""0"",""0"",""3494.42"",""26922.77"",""26922.77"",""0"",""0"",""0"",""0"",""0"",""0"",""25342.848"",""1579.922"",""0"",""0"",""0"",""0"",""0"",""0""]",2026-08-28T22:19:56.387Z
2020,0000051,일반,사립,경기,대학,강남대학교,"[""2020"",""0000051"",""강남대학교"",""강남학원"",""사립"",""대학"",""일반"",""경기"",""4254264.286"",""4254264.286"",""1259464.339"",""1102873.395"",""650536.851"",""452336.544"",""17489.373"",""17489.373"",""0"",""0"",""0"",""0"",""0"",""0"",""95616.828"",""0"",""95616.828"",""43484.743"",""43484.743"",""2609662.65"",""708699.971"",""708699.971"",""0"",""85106.077"",""85106.077"",""1815856.602"",""1815856.602"",""289341.093"",""161099.893"",""150946.166"",""2504"",""7649.727"",""128241.2"",""116881.2"",""1100"",""10260"",""10000"",""0"",""0"",""0"",""0"",""0"",""10000"",""10000"",""0"",""0"",""85796.204"",""85796.204"",""24369.549"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""61426.655"",""4254264.286"",""3562381.98"",""1081359.911"",""1018836.411"",""556795.788"",""89507.98"",""0"",""0"",""0"",""73329.96"",""232682.668"",""38600.015"",""5920"",""22000"",""0"",""17490.5"",""16156"",""1334.5"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""45033"",""45033"",""2075440.406"",""712617.684"",""186866.66"",""158628.79"",""0"",""0"",""0"",""150003.86"",""104045.734"",""15545.24"",""97527.4"",""0"",""0"",""85129.153"",""43900.932"",""0"",""0"",""0"",""41228.221"",""1277693.569"",""1277693.569"",""221703.87"",""165644.786"",""135728.786"",""29916"",""0"",""50007.584"",""45459.034"",""2048.55"",""0"",""2500"",""0"",""0"",""0"",""0"",""6051.5"",""0"",""6051.5"",""0"",""0"",""183139.376"",""183139.376"",""49375.555"",""38704.15"",""0"",""0"",""95059.671"",""738.417"",""738.417"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""738.417"",""0"",""0"",""0"",""691882.306"",""691882.306"",""691882.306""]",2026-08-28T22:19:56.387Z
2020,0000433,일반,사립,충북,전문,강동대학교,"[""2020"",""0000433"",""강동대학교"",""숭희학원"",""사립"",""전문"",""일반"",""충북"",""8299605.833"",""8299605.833"",""66078.72"",""66078.72"",""66078.72"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""7871715.052"",""115372.994"",""115372.994"",""0"",""7283338.458"",""7283338.458"",""473003.6"",""473003.6"",""355505.318"",""3921.28"",""3921.28"",""0"",""0"",""351584.038"",""5250"",""346334.038"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""6306.743"",""6306.743"",""4002.026"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""2304.717"",""8299605.833"",""7872969.364"",""35874.12"",""35874.12"",""23935"",""0"",""0"",""0"",""0"",""0"",""8323.12"",""3616"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""6255905.217"",""113435.935"",""41363.915"",""0"",""0"",""0"",""0"",""41040"",""15936.42"",""6455.6"",""8640"",""0"",""0"",""5669465.682"",""1360051.29"",""33480"",""0"",""529648.82"",""3746285.572"",""473003.6"",""473003.6"",""349048.253"",""45845.96"",""13345.96"",""32500"",""0"",""303074.293"",""0"",""302629.693"",""0"",""444.6"",""0"",""0"",""0"",""0"",""128"",""0"",""128"",""0"",""0"",""1157305.535"",""1157305.535"",""0"",""1150927.665"",""0"",""0"",""6377.87"",""74836.239"",""74836.239"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""74836.239"",""0"",""0"",""0"",""426636.469"",""426636.469"",""426636.469""]",2026-08-28T22:19:56.387Z
2020,0000514,일반,사립,강원,전문,강릉영동대학교,"[""2020"",""0000514"",""강릉영동대학교"",""정수학원"",""사립"",""전문"",""일반"",""강원"",""1909441.16"",""1909441.16"",""50043.452"",""0"",""0"",""0"",""50043.452"",""50043.452"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1764508.05"",""0"",""0"",""0"",""1762508.05"",""1762508.05"",""2000"",""2000"",""93900"",""8450"",""0"",""8450"",""0"",""85450"",""0"",""85450"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""989.658"",""989.658"",""656.107"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""90.92"",""242.631"",""1909441.16"",""1279422.108"",""50057.52"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""50057.52"",""23994.25"",""0"",""0"",""0"",""26063.27"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""979145.91"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""977145.91"",""88957.843"",""8000"",""0"",""0"",""880188.067"",""2000"",""2000"",""41108.08"",""22696.88"",""22696.88"",""0"",""0"",""18411.2"",""18411.2"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""207552.444"",""207552.444"",""0"",""166887.255"",""40665.189"",""0"",""0"",""1558.154"",""1558.154"",""0"",""0"",""0"",""0"",""0"",""0"",""97.75"",""1460.404"",""0"",""0"",""0"",""630019.052"",""630019.052"",""630019.052""]",2026-08-28T22:19:56.387Z
2020,0000548,일반,사립,강원,전문,강원관광대학교,"[""2020"",""0000548"",""강원관광대학교"",""분진학원"",""사립"",""전문"",""일반"",""강원"",""299520.93"",""299520.93"",""28495.52"",""19970"",""19970"",""0"",""8525.52"",""8525.52"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""252192.112"",""0"",""0"",""0"",""0"",""0"",""252192.112"",""252192.112"",""15998"",""998"",""0"",""0"",""998"",""15000"",""0"",""0"",""15000"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""2835.298"",""2835.298"",""176.775"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""2561.891"",""96.632"",""299520.93"",""516226.451"",""24195.206"",""19859"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""19859"",""4336.206"",""0"",""0"",""0"",""0"",""4336.206"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""261289.493"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""261289.493"",""261289.493"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""140228.043"",""140228.043"",""0"",""0"",""0"",""0"",""140228.043"",""37757.8"",""37757.8"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""37757.8"",""52755.909"",""52755.909"",""52755.909"",""-216705.521"",""-216705.521"",""-216705.521""]",2026-08-28T22:19:56.387Z
