year,region_code,region,region_full,sido,geo_level,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,uploaded_at
2025,1100000000,서울,서울특별시,서울,sido,43645,39703,37268,39955,42056,43053,47447,50486,54961,62088,66913,66610,67029,74629,71635,72718,69117,73390,78039,77791,79530,2026-08-14T00:22:57.807Z
2025,1111000000,종로구,서울특별시 종로구,서울,sigungu,427,444,416,445,472,477,526,546,634,703,814,768,816,934,854,960,862,942,1081,1162,1216,2026-08-14T00:22:57.807Z
2025,1114000000,중구,서울특별시 중구,서울,sigungu,601,484,410,511,501,462,459,476,507,566,552,533,523,570,545,522,524,569,696,770,816,2026-08-14T00:22:57.807Z
2025,1117000000,용산구,서울특별시 용산구,서울,sigungu,1052,951,852,917,912,955,1016,983,1042,1140,1164,1179,1175,1258,1211,1265,1217,1287,1417,1448,1581,2026-08-14T00:22:57.807Z
2025,1120000000,성동구,서울특별시 성동구,서울,sigungu,1812,1587,1365,1485,1540,1484,1512,1570,1588,1738,1710,1703,1610,1617,1579,1533,1526,1737,1994,2156,2400,2026-08-14T00:22:57.807Z
2025,1121500000,광진구,서울특별시 광진구,서울,sigungu,1269,1170,1072,1141,1223,1259,1445,1513,1560,1856,2044,1992,2123,2324,2267,2285,2171,2329,2572,2750,2839,2026-08-14T00:22:57.807Z
2025,1123000000,동대문구,서울특별시 동대문구,서울,sigungu,1814,1623,1614,1611,1585,1722,1797,1783,1918,2037,2192,2093,2042,2296,2142,2148,2043,2234,2436,2992,3623,2026-08-14T00:22:57.807Z
2025,1126000000,중랑구,서울특별시 중랑구,서울,sigungu,1720,1552,1525,1543,1488,1448,1652,1729,1851,2128,2207,2025,2165,2378,2297,2291,2251,2366,2532,2571,2576,2026-08-14T00:22:57.807Z
2025,1129000000,성북구,서울특별시 성북구,서울,sigungu,1899,1845,1754,1853,1970,2014,2204,2407,2577,2934,3159,3024,2953,3321,3384,3338,3223,3372,3763,4279,4789,2026-08-14T00:22:57.807Z
2025,1130500000,강북구,서울특별시 강북구,서울,sigungu,762,785,790,764,858,916,948,1104,1274,1373,1464,1496,1603,1787,1741,1813,1795,1880,2037,2193,2361,2026-08-14T00:22:57.807Z
2025,1132000000,도봉구,서울특별시 도봉구,서울,sigungu,1026,941,917,1007,1101,1047,1236,1345,1508,1710,1897,1941,1871,2082,2119,2188,2084,2224,2499,2299,2277,2026-08-14T00:22:57.807Z
2025,1135000000,노원구,서울특별시 노원구,서울,sigungu,2268,1933,1878,1951,1929,2059,2293,2423,2870,3291,3685,3793,3906,4436,4348,4541,4390,4807,4976,5218,5320,2026-08-14T00:22:57.807Z
2025,1138000000,은평구,서울특별시 은평구,서울,sigungu,1960,1767,1624,1873,1849,1924,2031,2177,2401,2778,3020,2931,2998,3364,3302,3499,3342,3546,3879,3730,3563,2026-08-14T00:22:57.807Z
2025,1141000000,서대문구,서울특별시 서대문구,서울,sigungu,1391,1345,1283,1364,1419,1454,1523,1604,1835,2024,2128,2167,1958,2161,2025,2162,2091,2120,2235,2608,2911,2026-08-14T00:22:57.807Z
2025,1144000000,마포구,서울특별시 마포구,서울,sigungu,1805,1582,1468,1579,1727,1684,1832,1980,2121,2489,2501,2442,2267,2656,2457,2580,2455,2635,2848,2867,3126,2026-08-14T00:22:57.807Z
2025,1147000000,양천구,서울특별시 양천구,서울,sigungu,1566,1554,1469,1743,1925,2091,2519,2822,3280,3620,4098,4302,4614,5085,4765,4931,4515,4889,5010,4079,3962,2026-08-14T00:22:57.807Z
2025,1150000000,강서구,서울특별시 강서구,서울,sigungu,2645,2384,2193,2345,2456,2520,2725,2766,3048,3604,3764,3743,3665,4301,4142,3928,3831,4217,4461,4061,3990,2026-08-14T00:22:57.807Z
2025,1153000000,구로구,서울특별시 구로구,서울,sigungu,2083,1930,1729,1810,1793,1771,1936,2052,2140,2350,2541,2467,2559,2781,2661,2769,2641,2815,2947,2843,2777,2026-08-14T00:22:57.807Z
2025,1154500000,금천구,서울특별시 금천구,서울,sigungu,867,756,755,774,776,753,831,848,938,1023,1113,1072,991,1277,1197,1230,1155,1245,1422,1342,1415,2026-08-14T00:22:57.807Z
2025,1156000000,영등포구,서울특별시 영등포구,서울,sigungu,2356,1931,1872,1879,1816,1747,1914,1961,2042,2215,2281,2264,2000,2303,2191,2167,2131,2267,2395,2320,2517,2026-08-14T00:22:57.807Z
2025,1159000000,동작구,서울특별시 동작구,서울,sigungu,1858,1589,1539,1488,1520,1606,1759,1807,1968,2203,2464,2310,2214,2420,2344,2523,2354,2395,2726,3090,3428,2026-08-14T00:22:57.807Z
2025,1162000000,관악구,서울특별시 관악구,서울,sigungu,1565,1305,1170,1197,1272,1299,1323,1395,1578,1833,2005,1974,2003,2173,2257,2222,2188,2498,2718,3491,4104,2026-08-14T00:22:57.807Z
2025,1165000000,서초구,서울특별시 서초구,서울,sigungu,1988,2000,1925,2208,2470,2519,2936,3231,3386,3734,4274,4396,4518,4923,4666,4927,4433,4651,4610,4329,4008,2026-08-14T00:22:57.807Z
2025,1168000000,강남구,서울특별시 강남구,서울,sigungu,2711,2375,2271,2404,2684,2930,3445,3845,4365,4965,5596,5904,6558,7187,6956,6672,6125,6575,6655,5829,5190,2026-08-14T00:22:57.807Z
2025,1171000000,송파구,서울특별시 송파구,서울,sigungu,3392,3093,2864,3267,3676,3796,4198,4474,4840,5589,5687,5621,5551,6200,5872,5793,5504,5525,5819,5347,5045,2026-08-14T00:22:57.807Z
2025,1174000000,강동구,서울특별시 강동구,서울,sigungu,2808,2777,2513,2796,3094,3116,3387,3645,3690,4185,4553,4470,4346,4795,4313,4431,4266,4265,4311,4017,3696,2026-08-14T00:22:57.807Z
2025,2600000000,부산,부산광역시,부산,sido,13847,13459,13165,14491,15232,15781,17738,19697,21793,24694,26812,26361,25924,28595,27509,26910,24507,25774,27256,25169,25259,2026-08-14T00:22:57.807Z
2025,2611000000,중구,부산광역시 중구,부산,sigungu,58,41,38,60,41,47,61,66,98,109,121,132,140,141,148,153,141,138,176,201,234,2026-08-14T00:22:57.807Z
2025,2614000000,서구,부산광역시 서구,부산,sigungu,332,325,302,363,359,396,428,485,505,635,659,676,647,721,729,724,639,700,750,768,756,2026-08-14T00:22:57.807Z
2025,2617000000,동구,부산광역시 동구,부산,sigungu,362,338,325,340,340,318,340,308,388,419,441,424,402,469,454,431,452,454,519,466,423,2026-08-14T00:22:57.807Z
2025,2620000000,영도구,부산광역시 영도구,부산,sigungu,306,294,276,291,326,296,369,410,445,536,553,558,597,649,659,674,582,679,709,679,645,2026-08-14T00:22:57.807Z
2025,2623000000,부산진구,부산광역시 부산진구,부산,sigungu,1882,1710,1681,1772,1669,1702,1779,1896,2073,2334,2436,2385,2234,2553,2506,2433,2289,2368,2567,2598,2721,2026-08-14T00:22:57.807Z
2025,2626000000,동래구,부산광역시 동래구,부산,sigungu,1285,1254,1285,1428,1571,1584,1883,2027,2214,2530,2774,2699,2683,2981,2679,2809,2387,2555,2603,2281,2100,2026-08-14T00:22:57.807Z
2025,2629000000,남구,부산광역시 남구,부산,sigungu,909,962,884,957,1083,1125,1304,1473,1706,1916,2104,2081,2115,2293,2235,2252,1998,2095,2301,2408,2597,2026-08-14T00:22:57.807Z
2025,2632000000,북구,부산광역시 북구,부산,sigungu,1202,1129,1036,1128,1178,1188,1315,1522,1665,1903,2038,1942,1972,2129,2099,2040,1977,2034,2145,1946,1988,2026-08-14T00:22:57.807Z
2025,2635000000,해운대구,부산광역시 해운대구,부산,sigungu,1409,1533,1438,1636,1761,1915,2203,2524,2654,3113,3439,3415,3478,3794,3639,3548,3293,3508,3715,3197,3006,2026-08-14T00:22:57.807Z
2025,2638000000,사하구,부산광역시 사하구,부산,sigungu,992,957,918,989,1084,1171,1265,1453,1695,1891,2142,2079,2100,2447,2397,2318,2209,2314,2499,2282,2257,2026-08-14T00:22:57.807Z
2025,2641000000,금정구,부산광역시 금정구,부산,sigungu,586,552,603,636,723,690,877,951,1133,1191,1447,1393,1412,1545,1527,1548,1433,1549,1699,1777,2044,2026-08-14T00:22:57.807Z
2025,2644000000,강서구,부산광역시 강서구,부산,sigungu,1229,1243,1325,1589,1589,1572,1740,1954,2099,2252,2371,2296,2099,2116,1984,1771,1491,1430,1281,995,902,2026-08-14T00:22:57.807Z
2025,2647000000,연제구,부산광역시 연제구,부산,sigungu,1149,1011,979,1012,1090,1194,1313,1417,1494,1713,1769,1769,1673,1825,1790,1711,1540,1678,1810,1581,1553,2026-08-14T00:22:57.807Z
2025,2650000000,수영구,부산광역시 수영구,부산,sigungu,614,626,585,679,680,668,802,823,898,1051,1142,1122,1061,1192,1202,1104,1073,1137,1216,1063,1136,2026-08-14T00:22:57.807Z
2025,2653000000,사상구,부산광역시 사상구,부산,sigungu,657,592,597,588,624,702,721,888,1015,1063,1266,1188,1235,1430,1311,1314,1211,1332,1418,1437,1512,2026-08-14T00:22:57.807Z
2025,2671000000,기장군,부산광역시 기장군,부산,sigungu,875,892,893,1023,1114,1213,1338,1500,1711,2038,2110,2202,2076,2310,2150,2080,1792,1803,1848,1490,1385,2026-08-14T00:22:57.807Z
2025,2700000000,대구,대구광역시,대구,sido,10781,10674,10089,11127,11857,12507,14614,15657,17292,19716,20761,20678,20447,22726,21876,21594,20064,21303,22847,20610,20607,2026-08-14T00:22:57.807Z
2025,2711000000,중구,대구광역시 중구,대구,sigungu,935,893,754,829,725,766,810,786,830,875,835,812,715,790,739,715,666,690,776,748,804,2026-08-14T00:22:57.807Z
2025,2714000000,동구,대구광역시 동구,대구,sigungu,1729,1676,1582,1650,1775,1795,2061,2105,2292,2552,2626,2552,2482,2734,2645,2684,2450,2565,2766,2409,2553,2026-08-14T00:22:57.807Z
2025,2717000000,서구,대구광역시 서구,대구,sigungu,692,652,562,622,595,619,709,696,814,926,917,906,903,1007,992,947,916,1029,1096,1016,985,2026-08-14T00:22:57.807Z
2025,2720000000,남구,대구광역시 남구,대구,sigungu,510,444,470,428,478,497,490,541,575,660,686,675,718,783,805,790,779,827,954,1028,1071,2026-08-14T00:22:57.807Z
2025,2723000000,북구,대구광역시 북구,대구,sigungu,1768,1770,1612,1836,1925,2053,2299,2612,2785,3340,3530,3517,3483,3877,3831,3734,3568,3825,4184,4024,4197,2026-08-14T00:22:57.807Z
2025,2726000000,수성구,대구광역시 수성구,대구,sigungu,1469,1544,1488,1902,2041,2174,2871,3240,3606,4100,4470,4580,4773,5236,4923,4710,4506,4829,5017,4335,4003,2026-08-14T00:22:57.807Z
2025,2729000000,달서구,대구광역시 달서구,대구,sigungu,2183,2140,2048,2116,2389,2519,2955,3202,3606,4278,4597,4550,4493,5113,4969,5065,4751,4919,5433,4900,4946,2026-08-14T00:22:57.807Z
2025,2771000000,달성군,대구광역시 달성군,대구,sigungu,1440,1506,1542,1703,1892,2038,2368,2437,2736,2936,3049,3015,2815,3096,2888,2857,2349,2522,2520,2063,1965,2026-08-14T00:22:57.807Z
2025,2772000000,군위군,대구광역시 군위군,대구,sigungu,55,49,31,41,37,46,51,38,48,49,51,71,65,90,84,92,79,97,101,87,83,2026-08-14T00:22:57.807Z
2025,2800000000,인천,인천광역시,인천,sido,16840,16519,15612,16786,17220,18113,19850,20940,22230,25163,27059,26511,26567,29174,28792,28158,26658,27387,29405,26257,25380,2026-08-14T00:22:57.807Z
2025,2811000000,중구,인천광역시 중구,인천,sigungu,1194,1179,1152,1228,1132,1185,1344,1382,1434,1569,1654,1563,1576,1769,1715,1710,1467,1515,1633,1355,1248,2026-08-14T00:22:57.807Z
2025,2811400000,중구영종출장소,인천광역시 중구영종출장소,인천,sigungu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-14T00:22:57.807Z
2025,2811800000,중구용유출장소,인천광역시 중구용유출장소,인천,sigungu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-14T00:22:57.807Z
2025,2814000000,동구,인천광역시 동구,인천,sigungu,227,193,192,188,209,183,252,250,266,348,352,357,340,456,415,443,410,459,518,426,435,2026-08-14T00:22:57.807Z
2025,2817700000,미추홀구,인천광역시 미추홀구,인천,sigungu,2262,2251,1972,2092,2157,2247,2275,2445,2618,2848,3120,2974,3007,3297,3348,3162,3153,3253,3511,3490,3525,2026-08-14T00:22:57.807Z
2025,2818500000,연수구,인천광역시 연수구,인천,sigungu,2618,2623,2544,2784,2989,3166,3587,3847,4005,4507,4899,4889,4829,5161,4901,4830,4474,4538,4764,4257,3960,2026-08-14T00:22:57.807Z
2025,2820000000,남동구,인천광역시 남동구,인천,sigungu,1843,1751,1797,1864,1960,2241,2508,2815,3155,3682,4077,4104,4208,4739,4688,4677,4402,4462,4801,4279,4089,2026-08-14T00:22:57.807Z
