school_code_std,school_name,main_branch,school_type,region,establishment,related_law,corp_name,school_status,school_name_en,road_address,lot_address,zip_code,founded_date,homepage,uploaded_at
0000001,국립강릉원주대학교,본교,대학교,강원,국립,고등교육법,해당없음,폐교,Gangneung Wonju National University,강원특별자치도 강릉시 죽헌길 7 (지변동),강원특별자치도 강릉시 지변동 123,25457,1979-03-01,www.gwnu.ac.kr,2026-08-01T19:45:45.673Z
0000002,국립강릉원주대학교,제2캠퍼스,대학교,강원,국립,고등교육법,해당없음,폐교,Gangneung Wonju National University,강원특별자치도 원주시 흥업면 남원로 150,강원특별자치도 원주시 흥업면 흥업리 7,26403,2007-03-01,www.gwnu.ac.kr,2026-08-01T19:45:45.673Z
0000003,강원대학교,본교,대학교,강원,국립,고등교육법,해당없음,기존,Kangwon National University,강원특별자치도 춘천시 강원대학길 1 (효자동),강원특별자치도 춘천시 효자동 210-1,24341,1970-03-01,www.kangwon.ac.kr/,2026-08-01T19:45:45.673Z
0000004,강원대학교,제2캠퍼스,대학교,강원,국립,고등교육법,해당없음,기존,Kangwon National University,강원특별자치도 삼척시 중앙로 346 (교동),강원특별자치도 삼척시 교동 777,25913,2006-03-01,www.kangwon.ac.kr/,2026-08-01T19:45:45.673Z
0000005,경북대학교,본교,대학교,대구,국립,고등교육법,해당없음,기존,Kyungpook National University,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",대구광역시 북구 대현동 25,41566,1946-05-28,www.knu.ac.kr,2026-08-01T19:45:45.673Z
0000007,경상국립대학교,본교,대학교,경남,국립,고등교육법,해당없음,기존,Gyeongsang National University,경상남도 진주시 진주대로 501 (가좌동),경상남도 진주시 가좌동 879,52828,1910-04-30,www.gnu.ac.kr,2026-08-01T19:45:45.673Z
0000008,국립공주대학교,본교,대학교,충남,국립,고등교육법,해당없음,기존,Kongju National University,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",충청남도 공주시 신관동 182,32588,1948-07-31,www.kongju.ac.kr,2026-08-01T19:45:45.673Z
0000009,국립군산대학교,본교,대학교,전북,국립,고등교육법,해당없음,기존,Kunsan National University,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",전북특별자치도 군산시 미룡동 290-2,54150,1979-01-18,www.kunsan.ac.kr,2026-08-01T19:45:45.673Z
0000010,국립금오공과대학교,본교,대학교,경북,국립,고등교육법,해당없음,기존,Kumoh National Institute Of Technology,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",경상북도 구미시 거의동 468,39177,1980-03-01,www.kumoh.ac.kr,2026-08-01T19:45:45.673Z
0000011,국립목포대학교,본교,대학교,전남광주,국립,고등교육법,해당없음,기존,Mokpo National University,"전남광주통합특별시 무안군 청계면 영산로 1666 (도림리, 목포대학교)",전남광주통합특별시 무안군 청계면 도림리 357-1,58554,1946-10-31,www.mokpo.ac.kr,2026-08-01T19:45:45.673Z
