school_code_std,school_name,main_branch,school_type,establishment,road_address,lot_address,sido,sigungu,lng,lat,geocoded_at
0002749,가야대학교(고령),제2캠퍼스,대학교,사립,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교)",경상북도 고령군 대가야읍 지산리 1000,경상북도,고령군,128.2510295178355,35.716730271663224,2026-08-01T20:12:16.527Z
0002748,가야대학교(김해),본교,대학교,사립,경상남도 김해시 삼계로 208 (삼계동),경상남도 김해시 삼계동 60,경상남도,김해시,128.8721829317009,35.268307671611154,2026-08-01T20:12:16.527Z
0000063,가천대학교,본교,대학교,사립,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",경기도 성남시 수정구 복정동 620-4,경기도,성남시,127.13096879205496,37.45056060624532,2026-08-01T20:12:16.527Z
0000072,가톨릭관동대학교,본교,대학교,사립,강원특별자치도 강릉시 범일로579번길 24 (내곡동),강원특별자치도 강릉시 내곡동 522,강원특별자치도,강릉시,128.87653697733083,37.736598653139986,2026-08-01T20:12:16.527Z
0000215,가톨릭꽃동네대학교,본교,대학교,사립,"충청북도 청주시 서원구 현도면 상삼길 133 (상삼리, 꽃동네대학교)",충청북도 청주시 서원구 현도면 상삼리 387,충청북도,청주시,127.4007806696801,36.52227547623305,2026-08-01T20:12:16.527Z
0000046,가톨릭대학교,본교,대학교,사립,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)",경기도 부천시 원미구 소사동 산 3-1,경기도,부천시,126.79856721418524,37.48748504209048,2026-08-01T20:12:16.527Z
0000048,가톨릭대학교,제2캠퍼스,대학교,사립,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",서울특별시 서초구 반포동 산 38-2,서울특별시,서초구,127.00608551590216,37.4998583152411,2026-08-01T20:12:16.527Z
0000049,가톨릭대학교,제3캠퍼스,대학교,사립,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",서울특별시 종로구 혜화동 산 1-2,서울특별시,종로구,127.00589277952778,37.585798328955846,2026-08-01T20:12:16.527Z
0000410,가톨릭상지대학교,본교,전문대학,사립,"경상북도 안동시 상지길 45 (율세동, 가톨릭상지대학교)",경상북도 안동시 율세동 산 104,경상북도,안동시,128.73604430094122,36.57004210509295,2026-08-01T20:12:16.527Z
0000050,감리교신학대학교,본교,대학교,사립,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",서울특별시 서대문구 냉천동 31,서울특별시,서대문구,126.9618929433262,37.5679165895965,2026-08-01T20:12:16.527Z
0000051,강남대학교,본교,대학교,사립,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",경기도 용인시 기흥구 구갈동 111,경기도,용인시,127.13339446482709,37.27679172121225,2026-08-01T20:12:16.527Z
0000433,강동대학교,본교,전문대학,사립,"충청북도 음성군 감곡면 대학길 278 (단평리, 강동대학교)",충청북도 음성군 감곡면 단평리 154,충청북도,음성군,127.64618030254265,37.143165446605096,2026-08-01T20:12:16.527Z
0000514,강릉영동대학교,본교,전문대학,사립,강원특별자치도 강릉시 공제로 357 (홍제동),강원특별자치도 강릉시 홍제동 1009,강원특별자치도,강릉시,128.8579607362774,37.74573443968873,2026-08-01T20:12:16.527Z
0000079,강서대학교,본교,대학교,사립,서울특별시 강서구 까치산로24길 47 (화곡동),서울특별시 강서구 화곡동 953-1,서울특별시,강서구,126.85413465347227,37.548669054022156,2026-08-01T20:12:16.527Z
0000003,강원대학교,본교,대학교,국립,강원특별자치도 춘천시 강원대학길 1 (효자동),강원특별자치도 춘천시 효자동 210-1,강원특별자치도,춘천시,127.73969115080553,37.86664362691363,2026-08-01T20:12:06.629Z
0000004,강원대학교,제2캠퍼스,대학교,국립,강원특별자치도 삼척시 중앙로 346 (교동),강원특별자치도 삼척시 교동 777,강원특별자치도,삼척시,129.1609703952505,37.45455364998775,2026-08-01T20:12:06.629Z
0003363,강원대학교,제3캠퍼스,대학교,국립,강원특별자치도 강릉시 죽헌길 7 (지변동),강원특별자치도 강릉시 지변동 123,강원특별자치도,강릉시,128.8679799445353,37.77220807160427,2026-08-01T20:12:16.527Z
0003364,강원대학교,제4캠퍼스,대학교,국립,강원특별자치도 원주시 흥업면 남원로 150,강원특별자치도 원주시 흥업면 흥업리 7,강원특별자치도,원주시,127.92192830954434,37.30457526234364,2026-08-01T20:12:16.527Z
0002639,강원도립대학교,본교,전문대학,공립,강원특별자치도 강릉시 주문진읍 연주로 270,강원특별자치도 강릉시 주문진읍 교항리 48-160,강원특별자치도,강릉시,128.83117381017894,37.87672182379251,2026-08-01T20:12:16.527Z
0000412,거제대학교,본교,전문대학,사립,"경상남도 거제시 마전1길 91 (장승포동, 거제대학)",경상남도 거제시 일운면 옥림리 146-3,경상남도,거제시,128.72554086946866,34.85129240966739,2026-08-01T20:12:16.527Z
0000052,건국대학교,본교,대학교,사립,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",서울특별시 광진구 화양동 393-1,서울특별시,광진구,127.07818913116384,37.54341661956013,2026-08-01T20:12:16.527Z
